objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
16,23EH76,Long Ave,25 Long Ave,IS,1305244800000,2305740181,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3388; METERED_FL=U; PLACEMENT=MIGRATED,23EH76,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1332720000000,{2FECA8C3-3951-5D90-AF06-0D93E90E9A6F},-71.135670585999947,42.349764929000060,25 (STREET_FEA 2588),STREET_FEA 2588,41,derived_0_50_ft,boston-sam,87076,25 Long Ave,Long Ave,42.34974867,-71.13552061,Long Avenue & Price Road,83,nearest_address
58,23EH36,Saunders St,58 Saunders St,IS,1029456000000,2305740052,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3341; METERED_FL=U; PLACEMENT=MIGRATED,23EH36,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{84432A30-BDB8-5556-B567-F725C7678DCE},-71.142080012999941,42.353675468000063,58 (STREET_FEA 3797),STREET_FEA 3797,36,derived_0_50_ft,boston-sam,122990,58 Saunders St,Saunders St,42.35375867,-71.14215062,Pomeroy Place & Pomeroy Street,22,nearest_address
61,23FH130,Babcock Street,Near Babcock Street & Gardner Street,IS,,2306740059,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1779; METERED_FL=U; PLACEMENT=MIGRATED,23FH130,,,KE,KEK81-A,2007,,,,1,,1177632000000,connorsm,1237852800000,{214D026A-6DE7-52AC-A1AC-84EBDD0B0176},-71.121070508999935,42.353125171000045,278 (STREET_FEA 371),STREET_FEA 371,150,intersection_preferred_150_plus_ft,boston-sam,341015,277 Babcock St,Babcock St,42.35344213,-71.12071695,Babcock Street & Gardner Street,85,nearest_intersection
67,23EH168,Pomeroy St,40 Pomeroy St,IS,1000512000000,2305740192,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3797; METERED_FL=U; PLACEMENT=MIGRATED,23EH168,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{A2B19C8F-4275-53AC-8748-D40ED4718D80},-71.142576549999944,42.353751596000052,40 (STREET_FEA 3341),STREET_FEA 3341,41,derived_0_50_ft,boston-sam,111443,40 Pomeroy St,Pomeroy St,42.35363867,-71.14258062,Pomeroy Place & Pomeroy Street,152,nearest_address
75,24EH168,Franklin St,41 Franklin St,IS,1050624000000,2405740181,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1726; METERED_FL=U; PLACEMENT=MIGRATED,24EH168,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1271808000000,{C32A23E0-D0AC-500A-AC30-127285557BC8},-71.132876510999949,42.357053939000025,318 (STREET_FEA 2550),STREET_FEA 2550,60,derived_50_100_ft,boston-sam,165425,41 Franklin St,Franklin St,42.35711646,-71.13266948,Franklin Street & Lincoln Street,39,nearest_address
77,23EH74,Cambridge St,501 Cambridge St,IS,,2305740059,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=787; METERED_FL=U; PLACEMENT=MIGRATED,23EH74,,,US,USMET250,1990,,,,1,,1177632000000,blundonr,1255478400000,{16C5978A-7323-5196-AB01-8E198A2B6316},-71.137848017999943,42.353581404000067,4 (STREET_FEA 29),STREET_FEA 29,38,derived_0_50_ft,boston-sam,25146,501 Cambridge St,Cambridge St,42.35352867,-71.13797062,Brighton Avenue & Cambridge Street,98,nearest_address
123,23FH98,Ashford St,56 Ashford St,IS,,2306740017,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2042; METERED_FL=U; PLACEMENT=MIGRATED,23FH98,,,MU,MUCENT,1971,,,,1,,1177632000000,blundonr,1255478400000,{1321903E-C0B9-5ECE-8255-8185D8E873A3},-71.125819934999981,42.354494036000062,56 (STREET_FEA 318),STREET_FEA 318,39,derived_0_50_ft,boston-sam,5177,56 Ashford St,Ashford St,42.35459867,-71.12585061,Ashford Street & Hartley Terrace,34,nearest_address
161,24FH18,Coolidge Rd,59-61 Coolidge Rd,IS,1046217600000,2406740050,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2985; METERED_FL=U; PLACEMENT=MIGRATED,24FH18,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1271808000000,{2FD9C176-8E4C-5C12-B818-F6D6B27E5B7B},-71.130935200999943,42.359037133000072,59 (STREET_FEA 1120),STREET_FEA 1120,40,derived_0_50_ft,boston-sam,42379,59-61 Coolidge Rd,Coolidge Rd,42.35908967,-71.13106561,Coolidge Road & Myrick Street,30,nearest_address
201,23FH56,Commonwealth Ave,1165-1177 Commonwealth Ave,IS,965952000000,2306740200,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1689; METERED_FL=U; PLACEMENT=MIGRATED,23FH56,,,MU,MUCENT,1976,,,,1,,1177632000000,blundonr,1271808000000,{499BB100-AF0A-52C1-9F9F-E67A7C20A993},-71.128231042999971,42.350692648000063,1165 (STREET_FEA 1090),STREET_FEA 1090,97,derived_50_100_ft,boston-sam,37065,1165-1177 Commonwealth Ave,Commonwealth Ave,42.35084587,-71.12852722,Commonwealth Avenue & Fordham Road,51,nearest_address
203,24FH28,Bayard St,37-39 Bayard St,IS,1040169600000,2406740008,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2985; METERED_FL=U; PLACEMENT=MIGRATED,24FH28,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{BE516613-56D5-5CA5-8A15-3A18E9CE41A7},-71.131295084999977,42.360406244000046,37-39 (STREET_FEA 437),STREET_FEA 437,46,derived_0_50_ft,boston-sam,9198,37-39 Bayard St,Bayard St,42.36050967,-71.13139161,Bayard Street & Myrick Street,184,nearest_address
216,25FH65,Albert H. Gordon Road,Near Albert H. Gordon Road & Batten Way,IS,,2506740086,,,MANUAL,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=2057; METERED_FL=U; PLACEMENT=blundonr,25FH65,,,U,U,,,,,1,,1247616000000,blundonr,1247788800000,{93674FAE-AED6-5E18-A453-B9E81C184FEE},-71.123440612999957,42.364859283000044,STREET_FEA 3400,STREET_FEA 3400,155,intersection_preferred_150_plus_ft,boston-sam,168219,80 N Harvard St,N Harvard St,42.36482630,-71.12401612,Albert H. Gordon Road & Batten Way,129,nearest_intersection
