objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
23,22IH31,Commonwealth Ave,380 Commonwealth Ave,IS,1226620800000,2209740046,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2742; METERED_FL=U; PLACEMENT=MIGRATED,22IH31,,,KE,U,2009,,,,1,,1177632000000,chalmersh,1273708800000,{BF8AAFFC-D643-510D-ACA0-FA2F8C9A3A9E},-71.089468671999953,42.348902220000070,380 OPP (STREET_FEA 1091),STREET_FEA 1091,84,derived_50_100_ft,boston-sam,419703,380 Commonwealth Ave,Commonwealth Ave,42.34867320,-71.08942824,Commonwealth Avenue & Massachusetts Avenue,246,nearest_address
142,21IH196,Saint Botolph St,136 Saint Botolph St,IS,1038182400000,2109740022,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1207; METERED_FL=U; PLACEMENT=MIGRATED,21IH196,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1225238400000,{94FF9F83-6660-5F68-A18D-D986E6C89D03},-71.082211050999945,42.343654849000075,136 (STREET_FEA 3743),STREET_FEA 3743,56,derived_50_100_ft,boston-sam,120681,136 Saint Botolph St,Saint Botolph St,42.34352867,-71.08209060,Cumberland Street & Saint Botolph Street,40,nearest_address
222,23IH46,Fairfield St,30 Fairfield St,IS,,2309740178,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3469; METERED_FL=U; PLACEMENT=MIGRATED,23IH46,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1255478400000,{E69045F6-D8E3-5003-9B65-783B12239CCB},-71.082364560999963,42.350231111000028,30 (STREET_FEA 1593),STREET_FEA 1593,35,derived_0_50_ft,boston-sam,55600,30 Fairfield St,Fairfield St,42.35031867,-71.08231060,Commonwealth Avenue & Fairfield Street,118,nearest_address
284,22IH118,Durham St,1 Durham St,IS,1038182400000,2209740288,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3743; METERED_FL=U; PLACEMENT=MIGRATED,22IH118,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{F615EF68-3F1F-5317-9D53-51175A1EFCD3},-71.081564383999932,42.344168754000066,1 (STREET_FEA 1412),STREET_FEA 1412,31,derived_0_50_ft,boston-sam,50137,1 Durham St,Durham St,42.34409867,-71.08150060,Durham Street & Saint Botolph Street,41,nearest_address
296,23JH50,Beacon St,196 Beacon St,IS,1075939200000,2310740079,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1008; METERED_FL=U; PLACEMENT=MIGRATED,23JH50,,,MU,MUCENT,2002,,,,1,,1177632000000,chalmersh,1250208000000,{17F3A228-E935-5309-8D24-4DF964565DA0},-71.077708610999935,42.354109355000048,198 (STREET_FEA 445),STREET_FEA 445,58,derived_50_100_ft,boston-sam,10045,196 Beacon St,Beacon St,42.35426867,-71.07773060,Beacon Street & Clarendon Street,210,nearest_address
373,23JH74,Columbus Ave,139-145 Columbus Ave,IS,1288569600000,2310740387,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=510; METERED_FL=U; PLACEMENT=MIGRATED,23JH74,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1326240000000,{0AD79ADB-AD87-5BE6-97CF-B3AC8B075E9C},-71.071379275999959,42.349701132000064,322 (STREET_FEA 4042),STREET_FEA 4042,111,derived_100_150_ft,boston-sam,35478,139-145 Columbus Ave,Columbus Ave,42.34966867,-71.07097059,Berkeley Street & Stuart Street,233,nearest_address
560,22IH136,Huntington Ave,120-140 Huntington Ave,IS,,2209740183,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1786; METERED_FL=U; PLACEMENT=MIGRATED,22IH136,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{F1806D92-0D47-59F1-9C9C-F16343EDB107},-71.080908304999980,42.345854421000070,120 (STREET_FEA 2238),STREET_FEA 2238,130,derived_100_150_ft,boston-sam,76242,120-140 Huntington Ave,Huntington Ave,42.34551867,-71.08107060,Garrison Street & Huntington Avenue,254,nearest_address
687,21IH184,Saint Botolph St,158 Saint Botolph St,IS,1038182400000,2109740058,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=551; METERED_FL=U; PLACEMENT=MIGRATED,21IH184,,,MU,MUCENT,1978,,,,1,,1177632000000,chalmersh,1225238400000,{C2A5E9ED-5973-5D28-9185-AB61BBEF6DF8},-71.082879621999950,42.343104755000070,158 (STREET_FEA 3743),STREET_FEA 3743,40,derived_0_50_ft,boston-sam,120715,158 Saint Botolph St,Saint Botolph St,42.34302867,-71.08277060,Blackwood Street & Saint Botolph Street,46,nearest_address
773,22JH243,Stuart St,366-380 Stuart St,IS,,2210740012,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,22JH243,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1255478400000,{3CD22395-05F9-5405-883C-D0FE55C82DDB},-71.072919380999963,42.349276556000063,378-372 (STREET_FEA 4041),STREET_FEA 4041,70,derived_50_100_ft,boston-sam,457855,366-380 Stuart St,Stuart St,42.34910569,-71.07303931,Berkeley Street & Stuart Street,211,nearest_address
839,23JH26,Marlborough St,137 Marlborough St,IS,1059091200000,2310740156,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2715; METERED_FL=U; PLACEMENT=MIGRATED,23JH26,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{27F7AD5A-EFE3-5E21-B026-FC1C3D1D1155},-71.078592103999938,42.352948137000055,319 (STREET_FEA 1265),STREET_FEA 1265,87,derived_50_100_ft,boston-sam,90446,137 Marlborough St,Marlborough St,42.35315867,-71.07844060,Dartmouth Street & Marlborough Street,48,nearest_address
886,23IH80,Marlborough St,199 Marlborough St,IS,1059091200000,2309740039,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1586; METERED_FL=U; PLACEMENT=MIGRATED,23IH80,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{85774BE1-3DEC-58FC-95F8-C784269FEA02},-71.080779491999976,42.352366937000056,199 (STREET_FEA 2715),STREET_FEA 2715,67,derived_50_100_ft,boston-sam,90600,199 Marlborough St,Marlborough St,42.35254867,-71.08082060,Exeter Street & Marlborough Street,38,nearest_address
