objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
707,23JH166,Winchester St,9-11 Winchester St,IS,,2310740374,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=47; METERED_FL=U; PLACEMENT=MIGRATED,23JH166,,,MU,MUCENT,1968,,,,1,,1177632000000,blundonr,1244505600000,{FB583796-1E84-5146-89AF-DDA447487417},-71.067772245999947,42.349771110000063,18 OPP (STREET_FEA 4566),STREET_FEA 4566,27,derived_0_50_ft,boston-sam,150614,9-11 Winchester St,Winchester St,42.34982867,-71.06771059,South Cedar Place & Winchester Street,39,nearest_address
2557,22JH236,Tremont St,339-351 Tremont St,IS,,2210740088,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2307; METERED_FL=U; PLACEMENT=MIGRATED,22JH236,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{D3711141-9AB1-5DFB-AA39-8D521726B765},-71.067080769999961,42.348619657000029,339 (STREET_FEA 4211),STREET_FEA 4211,36,derived_0_50_ft,boston-sam,137477,339-351 Tremont St,Tremont St,42.34871867,-71.06709059,Charles Street South & Jefferson Street,144,nearest_address
2664,22JH164,Berkeley St,119 Berkeley St,IS,,2210740104,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1148; METERED_FL=U; PLACEMENT=MIGRATED,22JH164,,,MU,MUCENT,1984,,,,1,,1177632000000,blundonr,1255478400000,{8907DADE-A445-54DF-A674-B7BF1936729C},-71.071504932999972,42.348392433000072,119 (STREET_FEA 510),STREET_FEA 510,53,derived_50_100_ft,boston-sam,15002,119 Berkeley St,Berkeley St,42.34837867,-71.07131059,Berkeley Street & Cortes Street,48,nearest_address
2766,23JH152,Church St,47-49 Church St,IS,1226620800000,2310740380,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=988; METERED_FL=U; PLACEMENT=MIGRATED,23JH152,,,KE,KEK81-A,2008,,,,1,,1177632000000,orrda,1449619200000,{6AF5DD2B-D792-5E00-BE34-C51A0AC0033F},-71.068354048999936,42.349703699000031,47 (STREET_FEA 3300),STREET_FEA 3300,27,derived_0_50_ft,boston-sam,163408,47-49 Church St,Church St,42.34974148,-71.06826677,Church Street & Winchester Street,36,nearest_address
2935,23JH168,Broadway,77-81 Broadway,IS,1412640000000,2310740355,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4566; METERED_FL=U; PLACEMENT=MIGRATED,23JH168,,,KE,KEK81-A,2012,,,,1,,1177632000000,mulline,1451347200000,{05B8A723-E95E-5267-BAB5-733F75E67911},-71.067359359999955,42.349975675000053,85 (STREET_FEA 681),STREET_FEA 681,39,derived_0_50_ft,boston-sam,162595,77-81 Broadway,Broadway,42.34995926,-71.06750115,Broadway Street & Piedmont Street,39,nearest_address
3490,22JH230,Church St,10-12 Church St,IS,1226620800000,2210740089,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=988; METERED_FL=U; PLACEMENT=MIGRATED,22JH230,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1282867200000,{495D8A38-FAE4-5B4B-B835-84E3E8B9A1A5},-71.067817815999945,42.348614279000060,34 (STREET_FEA 1627),STREET_FEA 1627,47,derived_0_50_ft,boston-sam,163399,10-12 Church St,Church St,42.34851473,-71.06792627,Church Street & Fayette Street,25,nearest_address
3819,23JH723,Arlington St,108 Arlington St,IS,1369267200000,2310740423,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=obrienm,23JH723,,,KE,KEK81-D,2011,,,,1,,1395187200000,mulline,1451347200000,{93375FBF-8865-508C-8070-D7CFBF5384D4},-71.069598707999944,42.349644833000070,100 (STREET_FEA 3300),STREET_FEA 3300,31,derived_0_50_ft,boston-sam,4810,108 Arlington St,Arlington St,42.34960867,-71.06949259,Arlington Street & Piedmont Street,36,nearest_address
3832,23JH142,Piedmont St,40-42 Piedmont St,IS,1415923200000,2310740366,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH142,,,KE,KEK81-A,2012,,,,1,,1177632000000,mulline,1451347200000,{77011924-8D8A-5F50-B156-0CF3A76B488C},-71.068839461999971,42.349828744000035,37 (STREET_FEA 3300),STREET_FEA 3300,40,derived_0_50_ft,boston-sam,110181,40-42 Piedmont St,Piedmont St,42.34971867,-71.06884059,Church Street & Piedmont Street,99,nearest_address
3870,22JH220,Fayette St,56 Fayette St,IS,1416441600000,2210740107,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=433; METERED_FL=U; PLACEMENT=MIGRATED,22JH220,,,KE,KEK81-A,2012,,,,1,,1177632000000,mulline,1451865600000,{485156C4-F1A3-5D0B-87E8-6B23343A9A6A},-71.068633665999982,42.348249829000054,56 OPP (STREET_FEA 1627),STREET_FEA 1627,66,derived_50_100_ft,boston-sam,57029,56 Fayette St,Fayette St,42.34823867,-71.06839059,Bay Street & Fayette Street,26,nearest_address
4565,22JH160,Berkeley St,138 Berkeley St,IS,899769600000,2210740144,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5429; METERED_FL=U; PLACEMENT=MIGRATED,22JH160,,,US,USSEN,1983,,,,1,,1177632000000,blundonr,1255478400000,{33A63C75-1E79-5829-B4CD-1AAF85BA3E0D},-71.072310496999933,42.348095348000072,219 OPP (STREET_FEA 1075),STREET_FEA 1075,107,derived_100_150_ft,boston-sam,352536,138 Berkeley St,Berkeley St,42.34820886,-71.07194377,Berkeley Street & Cortes Street,201,nearest_address
4839,22JH238,Fayette St,12-14 Fayette St,IS,,2210740044,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2307; METERED_FL=U; PLACEMENT=MIGRATED,22JH238,,,MU,MUCENT,1998,,,,1,,1177632000000,blundonr,1244505600000,{4CE11CA1-30E6-5B2E-A91A-E00BF7F9E4CA},-71.067163363999953,42.349012444000039,14 (STREET_FEA 1627),STREET_FEA 1627,27,derived_0_50_ft,boston-sam,165217,12-14 Fayette St,Fayette St,42.34900512,-71.06706272,Fayette Street & Jefferson Street,62,nearest_address
4969,22JH204,Arlington St,149 Arlington St,IS,1416441600000,2210740132,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2754; METERED_FL=U; PLACEMENT=MIGRATED,22JH204,,,MU,KEK81-A,2012,,,,1,,1177632000000,mulline,1451865600000,{BD7EF792-DFD7-532E-8D7D-CAD1BB122988},-71.069355856999948,42.348209490000045,STREET_FEA 301,STREET_FEA 301,75,derived_50_100_ft,boston-sam,445189,149 Arlington St,Arlington St,42.34838865,-71.06949121,Arlington Street & Marginal Road,65,nearest_address
5646,23JH111,Columbus Ave,130 Columbus Ave,IS,900633600000,2310740399,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH111,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1224806400000,{1A6E8D5C-52F2-574E-8DE7-204B353FA271},-71.070436260999941,42.349594694000075,111 (STREET_FEA 1075),STREET_FEA 1075,59,derived_50_100_ft,boston-sam,35476,130 Columbus Ave,Columbus Ave,42.34951682,-71.07024331,Arlington Street & Piedmont Street,191,nearest_address
7245,23JH154,Church St,67-69 Church St,IS,1226620800000,2310740331,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=988; METERED_FL=U; PLACEMENT=MIGRATED,23JH154,,,KE,KEK81-A,2009,,,,1,,1177632000000,chalmersh,1282608000000,{32347EB1-C3A0-54C6-A997-91E62DE57E0D},-71.068539360999978,42.350320920000058,241 OPP (STREET_FEA 4042),STREET_FEA 4042,67,derived_50_100_ft,boston-sam,163410,67-69 Church St,Church St,42.35016302,-71.06840878,Church Street & Shawmut Street,38,nearest_address
8395,23JH110,Arlington Street,Near Arlington Street & Stuart Street,IS,521942400000,2310740360,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH110,,,US,USSEN,1983,,,,1,,1177632000000,blundonr,1244505600000,{D1FEA3EB-8B7D-5F94-9D39-DB2F8D2657C5},-71.070061518999978,42.349918576000050,STREET_FEA 1075,STREET_FEA 1075,154,intersection_preferred_150_plus_ft,boston-sam,35476,130 Columbus Ave,Columbus Ave,42.34951682,-71.07024331,Arlington Street & Stuart Street,91,nearest_intersection
