objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
118,24KH11,Mount Vernon St,43 Mount Vernon St,IS,,2411740222,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2342; METERED_FL=U; PLACEMENT=MIGRATED,24KH11,,,MU,MUCENT,1991,,,,1,,1177632000000,dorleansr,1231804800000,{1756E4C3-0C2E-58F6-A19B-5C4E0183F8E5},-71.065171635999945,42.358383924000066,43 (STREET_FEA 2959),STREET_FEA 2959,40,derived_0_50_ft,boston-sam,98588,43 Mount Vernon St,Mount Vernon St,42.35848867,-71.06521059,Joy Street & Mount Vernon Street,29,nearest_address
157,25KH10,Joy St,71-75 Joy St,IS,,2511740422,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=788; METERED_FL=U; PLACEMENT=MIGRATED,25KH10,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231891200000,{78B05F8F-2507-54DA-B665-09ED5A0CD72F},-71.065068666999935,42.360651855000071,73 (STREET_FEA 2342),STREET_FEA 2342,26,derived_0_50_ft,boston-sam,80194,71-75 Joy St,Joy St,42.36060867,-71.06499059,Cambridge Street & Joy Street,177,nearest_address
187,25JH2,W Cedar St,96 W Cedar St,IS,,2510740115,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2590; METERED_FL=U; PLACEMENT=MIGRATED,25JH2,,,MU,MUCENT,1991,,,,1,,1177632000000,dorleansr,1231891200000,{E98FBE80-368C-5496-90ED-0DA6D79F7AAA},-71.070110038999985,42.360715142000060,100 (STREET_FEA 75),STREET_FEA 75,32,derived_0_50_ft,boston-sam,27086,96 W Cedar St,W Cedar St,42.36066867,-71.07021059,Cambridge Street & West Cedar Street,121,nearest_address
238,24KH64,Temple St,38 Temple St,IS,,2411740013,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3987; METERED_FL=U; PLACEMENT=MIGRATED,24KH64,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231718400000,{3FBBBCEB-FD5F-5EF6-A473-71A8C69DF049},-71.063576895999972,42.360220554000080,38 (STREET_FEA 4121),STREET_FEA 4121,25,derived_0_50_ft,boston-sam,134165,38 Temple St,Temple St,42.36024867,-71.06349159,Coolidge Avenue & Temple Street,45,nearest_address
336,24KH7,Mount Vernon St,63 Mount Vernon St,IS,,2411740229,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4360; METERED_FL=U; PLACEMENT=MIGRATED,24KH7,,,US,USSEN,1980,,,,1,,1177632000000,dorleansr,1231804800000,{6661CF3A-8002-5170-9789-7526DCE59C9C},-71.066281577999973,42.358354433000045,63 (STREET_FEA 2959),STREET_FEA 2959,68,derived_50_100_ft,boston-sam,98647,63 Mount Vernon St,Mount Vernon St,42.35853867,-71.06632559,Mount Vernon Street & Walnut Street,17,nearest_address
426,24JH100,Mount Vernon St,60 Mount Vernon St,IS,,2410740073,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4360; METERED_FL=U; PLACEMENT=MIGRATED,24JH100,,,US,USSEN,1990,,,,1,,1177632000000,dorleansr,1231718400000,{C250ADF1-EA6B-5528-93A7-608B1374D7EC},-71.067322350999973,42.358215909000080,83 (STREET_FEA 2959),STREET_FEA 2959,64,derived_50_100_ft,boston-sam,98637,60 Mount Vernon St,Mount Vernon St,42.35807967,-71.06717259,Anderson Street & Pinckney Street,248,nearest_address
439,24JH46,Brimmer St,26-28 Brimmer St,IS,1151625600000,2410740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2959; METERED_FL=U; PLACEMENT=MIGRATED,24JH46,,,MU,MUCENT,2003,,,,1,,1177632000000,dorleansr,1231718400000,{26DC8F62-B3E9-5DDC-9BFC-F869BDDE6BFF},-71.071778186999950,42.357982375000063,26 (STREET_FEA 674),STREET_FEA 674,52,derived_50_100_ft,boston-sam,20266,26-28 Brimmer St,Brimmer St,42.35800467,-71.07158859,Brimmer Street & Mount Vernon Street,210,nearest_address
699,24JH78,Beacon St,50 Beacon St,IS,631152000000,2410740129,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=445; METERED_FL=U; PLACEMENT=MIGRATED,24JH78,,,MU,MUCENT,1989,,,,1,,1177632000000,mulline,1439164800000,{583DA4C4-EEDE-5C7F-B488-6D7D55F55EB5},-71.067702920999977,42.356652537000059,50 (STREET_FEA 3977),STREET_FEA 3977,48,derived_0_50_ft,boston-sam,11817,50 Beacon St,Beacon St,42.35676967,-71.06778459,Beacon Street & Spruce Street,32,nearest_address
723,24JH94,W Cedar St,60 W Cedar St,IS,,2410740025,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3560; METERED_FL=U; PLACEMENT=MIGRATED,24JH94,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1224806400000,{04BF6E58-23EC-5D52-B8F5-96A6BA1F7773},-71.070207564999976,42.359580310000069,60 (STREET_FEA 75),STREET_FEA 75,17,derived_0_50_ft,boston-sam,26975,60 W Cedar St,W Cedar St,42.35956867,-71.07027059,Revere Street & West Cedar Street,38,nearest_address
798,24JH122,Revere St,15A-15 Revere St,IS,,2410740021,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3560; METERED_FL=U; PLACEMENT=MIGRATED,24JH122,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231718400000,{4E20E5CD-1BD2-55CD-A756-4FE1C2C999C4},-71.066790422999986,42.359616512000059,54 (STREET_FEA 1774),STREET_FEA 1774,24,derived_0_50_ft,boston-sam,169059,15A-15 Revere St,Revere St,42.35964213,-71.06670986,Garden Street & Revere Street,23,nearest_address
881,24KH10,Mount Vernon Pl,8 Mount Vernon Pl,IS,,2411740282,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2956; METERED_FL=U; PLACEMENT=MIGRATED,24KH10,,,MU,MUCENT,1989,,,,1,,1177632000000,dorleansr,1231804800000,{86279990-733E-555C-B2B1-67E65CE4AD42},-71.065031444999988,42.357912774000056,5 OPP (STREET_FEA 2342),STREET_FEA 2342,32,derived_0_50_ft,boston-sam,98466,8 Mount Vernon Pl,Mount Vernon Pl,42.35784767,-71.06495159,Joy Street & Mount Vernon Place,43,nearest_address
