objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
8,22EH156,Commonwealth Ave,1505 Commonwealth Ave,IS,,2205740203,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1653; METERED_FL=U; PLACEMENT=MIGRATED,22EH156,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{E6BD8200-EAB0-541C-B5B3-6CDD66A2B818},-71.141219604999947,42.346993480000037,1505 (STREET_FEA 1090),STREET_FEA 1090,98,derived_50_100_ft,boston-sam,37777,1505 Commonwealth Ave,Commonwealth Ave,42.34711867,-71.14154062,Commonwealth Avenue & Commonwealth Terrace,166,nearest_address
11,22CH68,Lake St,201 Lake St,IS,,2203740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4203; METERED_FL=U; PLACEMENT=MIGRATED,22CH68,,,WA,WAWB67P,1988,,,,1,,1177632000000,blundonr,1255478400000,{2293D93C-EB64-5877-BD34-3E6FCE2D7F10},-71.161781729999973,42.346974857000077,201 OPP (STREET_FEA 2430),STREET_FEA 2430,84,derived_50_100_ft,boston-sam,83012,201 Lake St,Lake St,42.34679867,-71.16158062,Lake Street & Trapelo Street,20,nearest_address
12,23CH102,Bigelow St,208 Bigelow St,IS,,2303740007,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=700; METERED_FL=U; PLACEMENT=MIGRATED,23CH102,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{06F3BCF9-E069-5F9A-A329-786491990DE1},-71.163261898999963,42.355122365000057,208 (STREET_FEA 526),STREET_FEA 526,61,derived_50_100_ft,boston-sam,15415,208 Bigelow St,Bigelow St,42.35528867,-71.16327062,Bigelow Street & Brooks Street,167,nearest_address
15,25DH4,Waverly St,14 Waverly St,IS,988070400000,2504740012,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2639; METERED_FL=U; PLACEMENT=MIGRATED,25DH4,,,MU,MUCENT,2006,,,,1,,1177632000000,blundonr,1255478400000,{21D81FE2-9383-5EDB-A081-09A884DFF3CD},-71.145146558999954,42.360793568000076,14 OPP (STREET_FEA 4412),STREET_FEA 4412,55,derived_50_100_ft,boston-sam,171372,14 Waverly St,Waverly St,42.36093857,-71.14508574,Mackin Street & Waverly Street,172,nearest_address
27,21DH16,South St,25 South St,IS,1339718400000,2104740144,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2409; METERED_FL=U; PLACEMENT=MIGRATED,21DH16,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1355443200000,{D52B4FAC-FC32-55CE-B002-79F3ACC62F11},-71.156573852999941,42.340082875000064,25 (STREET_FEA 3934),STREET_FEA 3934,45,derived_0_50_ft,boston-sam,128427,25 South St,South St,42.34017467,-71.15668662,Kirkwood Road & South Street,243,nearest_address
54,23EH68,Sinclair Rd,1-3 Sinclair Rd,IS,,2305740023,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3911; METERED_FL=U; PLACEMENT=MIGRATED,23EH68,,,WA,WAWB67P,1987,,,,1,,1177632000000,blundonr,1255478400000,{CDCD4103-F406-55D4-8D93-3DC4C6619E45},-71.139378405999935,42.354609653000068,STREET_FEA 2060,STREET_FEA 2060,76,derived_50_100_ft,boston-sam,127488,1-3 Sinclair Rd,Sinclair Rd,42.35440867,-71.13930062,Harvester Street & Sinclair Road,26,nearest_address
104,21DH90,Commonwealth Ave,1789 Commonwealth Ave,IS,965952000000,2104740118,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=983; METERED_FL=U; PLACEMENT=MIGRATED,21DH90,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{378A4EC4-2B57-5C0A-9246-C4746BAC0835},-71.151099787999954,42.340708230000075,1789 (STREET_FEA 1090),STREET_FEA 1090,70,derived_50_100_ft,boston-sam,38683,1789 Commonwealth Ave,Commonwealth Ave,42.34080867,-71.15132062,Chiswick Road & Commonwealth Avenue,125,nearest_address
115,23DH36,Harriet St,17-19 Harriet St,IS,956275200000,2304740077,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2641; METERED_FL=U; PLACEMENT=MIGRATED,23DH36,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{0F24F040-EB05-5688-9355-CF9318ED6708},-71.155052077999983,42.353115142000036,15 (STREET_FEA 2025),STREET_FEA 2025,49,derived_0_50_ft,boston-sam,69641,17-19 Harriet St,Harriet St,42.35323867,-71.15512062,Harriet Street & Madeline Street,77,nearest_address
126,21CH84,Foster St,222 Foster St,IS,631152000000,2103740019,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3200; METERED_FL=U; PLACEMENT=MIGRATED,21CH84,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{70440849-E039-5839-B8E9-DD450E90EA2F},-71.158088165999970,42.342770681000047,224 (STREET_FEA 1705),STREET_FEA 1705,44,derived_0_50_ft,boston-sam,420944,222 Foster St,Foster St,42.34279088,-71.15792877,Foster Street & Rose Garden Circle,256,nearest_address
138,24DH96,Guest St,60 Guest St,IS,,2404740077,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2542; METERED_FL=U; PLACEMENT=MIGRATED,24DH96,,,WA,WAWB67P,1988,,,,1,,1177632000000,blundonr,1255478400000,{10739B7C-2191-5E02-A04D-C18D3AE2B7BD},-71.144752183999969,42.356982449000043,77 OPP (STREET_FEA 1953),STREET_FEA 1953,101,derived_100_150_ft,boston-sam,448774,60 Guest St,Guest St,42.35716720,-71.14503406,Guest Street & Life Street,219,nearest_address
156,22DH102,Shepard St,19 Shepard St,IS,1155254400000,2204740067,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4391; METERED_FL=U; PLACEMENT=MIGRATED,22DH102,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{3D3D35DD-FAAE-5E24-A910-588DC8F96727},-71.150335832999986,42.347366637000050,19 (STREET_FEA 3878),STREET_FEA 3878,34,derived_0_50_ft,boston-sam,126680,19 Shepard St,Shepard St,42.34736867,-71.15046062,Shepard Street & Shepard Way,278,nearest_address
