objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
17,29JH104,Chappie St,40 Chappie St,IS,,2910740125,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2795; METERED_FL=U; PLACEMENT=MIGRATED,29JH104,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1221004800000,{E122B25D-0DFD-554C-9B99-ED33BDFEFE47},-71.068803360999937,42.382979380000052,40 (STREET_FEA 904),STREET_FEA 904,23,derived_0_50_ft,boston-sam,29002,40 Chappie St,Chappie St,42.38303868,-71.06883060,Saint Martin Street & Wellington Place,243,nearest_address
46,28JH92,Main St,436 Main St,IS,,2810740046,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2652; METERED_FL=U; PLACEMENT=MIGRATED,28JH92,,,DA,ADB-84-B,1986,,,,1,,1177632000000,chalmersh,1221177600000,{9091CF74-A97D-5807-AD46-C0F0A4A6F5F3},-71.071254696999972,42.381514702000061,436 (STREET_FEA 5111),STREET_FEA 5111,26,derived_0_50_ft,boston-sam,88607,436 Main St,Main St,42.38149868,-71.07135060,Charbonnier Street & Main Street,34,nearest_address
62,27KH252,Baxter Rd,24 Baxter Rd,IS,1393891200000,2711740276,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=1661; METERED_FL=U; PLACEMENT=samayoa-galvisr,27KH252,,,U,U,,,,,1,,1442880000000,samayoa-galvisr,1442880000000,{98CC5461-5315-5D22-9496-561274764E7B},-71.054741182999976,42.373825445000080,2 (STREET_FEA 4403),STREET_FEA 4403,96,derived_50_100_ft,boston-sam,352758,24 Baxter Rd,Baxter Rd,42.37356810,-71.05481123,Baxter Road & Fifth Street,251,nearest_address
88,27JH68,Austin Street,Near Austin Street & New Rutherford Avenue,IS,1096502400000,2710740062,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=2267; METERED_FL=U; PLACEMENT=mulline,27JH68,,,U,U,2004,,,,1,,1406246400000,tamburelloa,1428624000000,{38A3DC35-C137-5A88-88A5-E9E01602DA8E},-71.069814255999972,42.372804812000027,STREET_FEA 3395,STREET_FEA 3395,164,intersection_preferred_150_plus_ft,boston-sam,355095,180 New Rutherford Ave,New Rutherford Ave,42.37242789,-71.06948313,Austin Street & New Rutherford Avenue,701,nearest_intersection
109,28JH18,Stack Street,Near Stack Street & Supertest Street,IS,,2810740069,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3725; METERED_FL=U; PLACEMENT=MIGRATED,28JH18,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1255478400000,{4B2847DF-13D5-54C8-8600-6293DA8F417F},-71.076608054999951,42.380654928000070,STREET_FEA 734,STREET_FEA 734,288,intersection_preferred_150_plus_ft,boston-sam,423100,60 Bunker Hill Industrial Park,Bunker Hill Industrial Park,42.38077679,-71.07554834,Stack Street & Supertest Street,660,nearest_intersection
128,26KH768,New Rutherford Avenue,Near New Rutherford Avenue & Rutherford Avenue,IS,1096502400000,2611740202,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=mulline,26KH768,,,U,U,2004,,,,1,,1406246400000,tamburelloa,1428624000000,{87B64615-6139-55AB-8C99-42E290978E16},-71.064826720999974,42.371205306000036,STREET_FEA 0,STREET_FEA 0,438,intersection_preferred_150_plus_ft,boston-sam,343274,44 Rutherford Ave,Rutherford Ave,42.37230314,-71.06416125,New Rutherford Avenue & Rutherford Avenue,385,nearest_intersection
141,27JH60,New Rutherford Avenue,Near New Rutherford Avenue & Rutherford Avenue,IS,,2710740020,,,U,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3403; METERED_FL=U; PLACEMENT=MIGRATED,27JH60,,,U,U,,,,,1,,1177632000000,mulline,1396828800000,{05562947-39D6-59BF-B9DE-BD973373E481},-71.072997921999956,42.375499156000046,410 (STREET_FEA 2267),STREET_FEA 2267,670,intersection_preferred_150_plus_ft,boston-sam,340668,14 Bunker Hill Industrial Park,Bunker Hill Industrial Park,42.37727212,-71.07366482,New Rutherford Avenue & Rutherford Avenue,1079,nearest_intersection
189,26KH761,Constitution Plaza,Near Constitution Plaza & Constitution Road,IS,,2611740195,,,GPS,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=4403; METERED_FL=U; PLACEMENT=denapolipd,26KH761,,,MU,MUCENT,2002,,,,1,,1247616000000,orrda,1285632000000,{6F688459-B043-593A-B1F2-5FE09D1AA2D7},-71.060114972999941,42.371147987000029,44 (STREET_FEA 915),STREET_FEA 915,205,intersection_preferred_150_plus_ft,boston-sam,163848,28 Constitution Rd,Constitution Rd,42.37063428,-71.05980247,Constitution Plaza & Constitution Road,204,nearest_intersection
233,27KH76,Winthrop St,9 Winthrop St,IS,,2711740171,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4583; METERED_FL=U; PLACEMENT=MIGRATED,27KH76,,,DA,ADB-84-B,1984,,,,1,,1177632000000,chalmersh,1221177600000,{CD5F55C1-9520-5D8D-804A-289917DCCC7C},-71.061615668999934,42.373569739000061,48 (STREET_FEA 4384),STREET_FEA 4384,20,derived_0_50_ft,boston-sam,420721,9 Winthrop St,Winthrop St,42.37357209,-71.06168890,Warren Street & Winthrop Street,36,nearest_address
247,27JH14,New Rutherford Avenue,Near New Rutherford Avenue & Rutherford Avenue,IS,,2710740010,,,U,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=734; METERED_FL=U; PLACEMENT=MIGRATED,27JH14,,,U,U,,,,,1,,1177632000000,mulline,1396828800000,{C9D9CFBC-A5A7-577A-A043-B5881543237D},-71.073803809999959,42.376116591000027,410 (STREET_FEA 2267),STREET_FEA 2267,422,intersection_preferred_150_plus_ft,boston-sam,340668,14 Bunker Hill Industrial Park,Bunker Hill Industrial Park,42.37727212,-71.07366482,New Rutherford Avenue & Rutherford Avenue,1187,nearest_intersection
326,28KH2,High St,87 High St,IS,,2811740219,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3819; METERED_FL=U; PLACEMENT=MIGRATED,28KH2,,,MU,MUCENT,1992,,,,1,,1177632000000,denapolipd,1221004800000,{772883F0-B121-5E27-B7CE-1EDA8D2E2F9E},-71.064828522999960,42.377304405000075,87H-87 (STREET_FEA 2133),STREET_FEA 2133,29,derived_0_50_ft,boston-sam,346072,87 High St,High St,42.37736530,-71.06475843,High Street & School Street,36,nearest_address
