objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
433,22KH64,Oak St,0 Oak St,IS,,2211740022,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3004; METERED_FL=U; PLACEMENT=MIGRATED,22KH64,,,US,USSEN,1984,,,,1,,1177632000000,blundonr,1244505600000,{18939A03-3A11-5215-AB6F-8AEFC5227ABE},-71.063386560999959,42.348794143000077,38 (STREET_FEA 2766),STREET_FEA 2766,88,derived_50_100_ft,boston-sam,104568,0 Oak St,Oak St,42.34891667,-71.06366859,Ash Street & Nassau Street,47,nearest_address
485,22KH94,Hudson St,101-103 Hudson St,IS,,2211740067,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4103; METERED_FL=U; PLACEMENT=MIGRATED,22KH94,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1244505600000,{D7A3E7EE-9C31-5A02-B423-51200A290901},-71.061280972999953,42.347922523000079,STREET_FEA 2225,STREET_FEA 2225,110,derived_100_150_ft,boston-sam,355691,101-103 Hudson St,Hudson St,42.34821704,-71.06119083,Hudson Street & Tai Tung Street,85,nearest_address
1140,23KH971,Oxford St,13-17 Oxford St,IS,1224028800000,2311740901,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=chalmersh,23KH971,,,KE,KEK81-A,,,,,1,,1273190400000,orrda,1446422400000,{FD88279C-7261-51FC-B805-951467081021},-71.060523435999983,42.351924909000047,11 (STREET_FEA 3189),STREET_FEA 3189,22,derived_0_50_ft,boston-sam,106203,13-17 Oxford St,Oxford St,42.35193433,-71.06060594,Harrison Avenue & Oxford Place,199,nearest_address
1234,22JH228,Tremont St,357 Tremont St,IS,725846400000,2210740137,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2700; METERED_FL=U; PLACEMENT=MIGRATED,22JH228,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{2DFA7EFB-7197-50BB-A85B-3DCDFAD6184F},-71.067638311999985,42.348110364000036,357 OPP (STREET_FEA 4211),STREET_FEA 4211,92,derived_50_100_ft,boston-sam,158127,357 Tremont St,Tremont St,42.34832220,-71.06782333,Marginal Road & Tremont Street,110,nearest_address
1311,22KH807,Hudson Street,Near Hudson Street & Tai Tung Street,IS,1251849600000,2211740279,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=connorsm,22KH807,,,U,U,,,,,1,,1321228800000,connorsm,1321228800000,{3501E07E-DB1B-53BC-A221-011443D81D5E},-71.059240827999986,42.347872549000044,STREET_FEA 0,STREET_FEA 0,465,intersection_preferred_150_plus_ft,boston-sam,354247,88 Hudson St,Hudson St,42.34858512,-71.06067759,Hudson Street & Tai Tung Street,515,nearest_intersection
1320,22KH806,Harvard Street,Near Harvard Street & Hudson Street,IS,1251849600000,2211740278,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=connorsm,22KH806,,,U,U,,,,,1,,1321228800000,connorsm,1321228800000,{C18FA9D8-520C-5829-B0CF-228C217E09D0},-71.059163478999949,42.348839701000031,STREET_FEA 0,STREET_FEA 0,346,intersection_preferred_150_plus_ft,boston-sam,342559,135 Kneeland St,Kneeland St,42.34969761,-71.05860891,Harvard Street & Hudson Street,430,nearest_intersection
1858,23KH122,Tyler St,35 Tyler St,IS,1240358400000,2311740624,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH122,,,KE,KEK81-A,2009,,,,1,,1177632000000,chings,1458691200000,{298F4799-5324-5C9C-B7E6-1137072A5CFE},-71.061081264999984,42.350098928000079,44 OPP (STREET_FEA 4243),STREET_FEA 4243,49,derived_0_50_ft,boston-sam,347152,35 Tyler St,Tyler St,42.35008280,-71.06126187,Kneeland Street & Tyler Street,147,nearest_address
1935,22KH805,Kneeland St,185R Kneeland St,IS,1251849600000,2211740277,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=connorsm,22KH805,,,U,U,,,,,1,,1321228800000,connorsm,1321228800000,{43833636-8D2D-50F4-86B8-083A393180EE},-71.061138448999941,42.346821456000043,STREET_FEA 0,STREET_FEA 0,115,derived_100_150_ft,boston-sam,459190,185R Kneeland St,Kneeland St,42.34693529,-71.06153804,Hudson Street & Tai Tung Street,474,nearest_address
1950,22KH110,Kneeland St,185R Kneeland St,IS,1251849600000,2211740092,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,22KH110,,,MU,U,,,,,1,,1177632000000,connorsm,1321228800000,{4F308F80-6C8E-5406-9DDC-DEA9B2237851},-71.061662564999949,42.346955675000061,STREET_FEA 2252,STREET_FEA 2252,34,derived_0_50_ft,boston-sam,459190,185R Kneeland St,Kneeland St,42.34693529,-71.06153804,Harrison Avenue & Pine Street,348,nearest_address
2248,23KH862,Hudson St,1 Hudson St,IS,,2311740849,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2225; METERED_FL=U; PLACEMENT=MIGRATED,23KH862,,,DA,ADB-62-B,1993,,,,1,,1177632000000,blundonr,1244505600000,{6F67D2C3-7AE8-5082-85AD-28AB95A93DDA},-71.060002266999959,42.351182453000035,67 (STREET_FEA 440),STREET_FEA 440,29,derived_0_50_ft,boston-sam,166361,1 Hudson St,Hudson St,42.35110283,-71.06001870,Beach Street & Hudson Street,35,nearest_address
2393,23KH158,Kneeland St,117 Kneeland St,IS,,2311740755,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2551; METERED_FL=U; PLACEMENT=MIGRATED,23KH158,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1244505600000,{74F76329-C1A9-5E9C-AD8B-0951504E4A19},-71.059184212999980,42.349907302000076,118-124 OP (STREET_FEA 2413),STREET_FEA 2413,28,derived_0_50_ft,boston-sam,166802,117 Kneeland St,Kneeland St,42.34983321,-71.05920641,Albany Street & John F. Fitzgerald Surface Road,176,nearest_address
2963,22KH58,Harrison Ave,229 Harrison Ave,IS,,2211740077,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3311; METERED_FL=U; PLACEMENT=MIGRATED,22KH58,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1244505600000,{A300B0AB-6713-5821-906B-F5BB845C98CF},-71.062825422999936,42.347581511000044,229 (STREET_FEA 2030),STREET_FEA 2030,33,derived_0_50_ft,boston-sam,69819,229 Harrison Ave,Harrison Ave,42.34761616,-71.06293959,Harrison Avenue & Johnny Court,94,nearest_address
