objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
5,13JH40,Spencer St,44 Spencer St,IS,,1310740195,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=332; METERED_FL=U; PLACEMENT=MIGRATED,13JH40,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{42A2F21C-D59E-51F2-973E-9DFA70C4FD65},-71.076593058999947,42.295559600000047,44 (STREET_FEA 3959),STREET_FEA 3959,44,derived_0_50_ft,boston-sam,129359,44 Spencer St,Spencer St,42.29553866,-71.07643059,Athelwold Street & Spencer Street,207,nearest_address
7,16KH174,Belfort St,4 Belfort St,IS,,1611740054,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1358; METERED_FL=U; PLACEMENT=MIGRATED,16KH174,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1224806400000,{9C6D7440-60D7-564A-AFA6-50FFEFC2A2AD},-71.056203362999952,42.315275173000032,4 OPP (STREET_FEA 477),STREET_FEA 477,82,derived_50_100_ft,boston-sam,13536,4 Belfort St,Belfort St,42.31549766,-71.05616559,Belfort Street & Dorchester Avenue,140,nearest_address
10,14KH46,Speedwell St,37 Speedwell St,IS,959817600000,1411740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3102; METERED_FL=U; PLACEMENT=MIGRATED,14KH46,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1224720000000,{AF479656-BD6F-5039-9B35-7BD697459C1F},-71.066521762999969,42.304302827000072,41 (STREET_FEA 3958),STREET_FEA 3958,38,derived_0_50_ft,boston-sam,129318,37 Speedwell St,Speedwell St,42.30419866,-71.06654059,Norton Street & Speedwell Street,63,nearest_address
14,13KH110,Gibson St,47 Gibson St,IS,993081600000,1311740091,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=545; METERED_FL=U; PLACEMENT=MIGRATED,13KH110,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1224633600000,{A85ECE55-EC4A-525A-AF6C-ED1BDE3F6D41},-71.059084919999975,42.297649762000049,37 (STREET_FEA 1815),STREET_FEA 1815,97,derived_50_100_ft,boston-sam,63620,47 Gibson St,Gibson St,42.29759866,-71.05873059,Bispham Street & Gibson Street,211,nearest_address
20,13KH122,Greenwood Park,9 Greenwood Park,IS,,1311740193,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3214; METERED_FL=U; PLACEMENT=MIGRATED,13KH122,,,MU,MUCENT,1992,,,,1,,1177632000000,denapolipd,1224633600000,{B0C46471-3DC0-507D-8278-2F4F1BB5F398},-71.059784343999979,42.299368137000044,9 (STREET_FEA 1932),STREET_FEA 1932,50,derived_0_50_ft,boston-sam,66948,9 Greenwood Park,Greenwood Park,42.29937866,-71.05960059,Greenwood Park & Park Street,166,nearest_address
21,18KH72,Howell St,12 Howell St,IS,,1811740055,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4389; METERED_FL=U; PLACEMENT=MIGRATED,18KH72,,,MU,MUCENT,1992,,,,1,,1177632000000,denapolipd,1220918400000,{6D87DF71-A255-5609-AD4F-498B3A976080},-71.057600706999949,42.324963940000032,12 (STREET_FEA 2217),STREET_FEA 2217,40,derived_0_50_ft,boston-sam,75637,12 Howell St,Howell St,42.32485867,-71.05756059,Howell Street & Washburn Street,92,nearest_address
22,13IH4,Franklin Hill Ave,51-59 Franklin Hill Ave,IS,738892800000,1309740140,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1643; METERED_FL=U; PLACEMENT=MIGRATED,13IH4,,,MU,MUCENT,1993,,,,1,,1177632000000,chings,1457049600000,{0D95EF41-3CCE-56D2-A766-D38BE97FA4DF},-71.091044635999936,42.295407061000049,51-59 (STREET_FEA 1732),STREET_FEA 1732,34,derived_0_50_ft,boston-sam,350745,51-59 Franklin Hill Ave,Franklin Hill Ave,42.29549373,-71.09109374,Fermoy Heights Avenue & Franklin Hill Avenue,57,nearest_address
28,13IH2,Franklin Hill Ave,19-27 Franklin Hill Ave,IS,,1309740155,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4751; METERED_FL=U; PLACEMENT=MIGRATED,13IH2,,,MU,MUCENT,1993,,,,1,,1177632000000,BlundoNR,1316304000000,{9A7C22F2-1572-5F37-ADFD-283CAD7FEF12},-71.090054398999939,42.294904963000079,17 (STREET_FEA 1732),STREET_FEA 1732,55,derived_50_100_ft,boston-sam,350748,19-27 Franklin Hill Ave,Franklin Hill Ave,42.29490565,-71.08984844,Fermoy Heights Avenue & Franklin Hill Avenue,33,nearest_address
29,14JH178,Bowdoin St,149 Bowdoin St,IS,757382400000,1410740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4117; METERED_FL=U; PLACEMENT=MIGRATED,14JH178,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1224633600000,{272BFDD6-D0EA-53EC-9B62-1D4070FAE0BC},-71.070371325999986,42.303852999000071,149 (STREET_FEA 609),STREET_FEA 609,51,derived_50_100_ft,boston-sam,17653,149 Bowdoin St,Bowdoin St,42.30371866,-71.07042059,Blakeville Street & Bowdoin Street,29,nearest_address
30,13KH112,Gibson St,57 Gibson St,IS,993081600000,1311740195,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=545; METERED_FL=U; PLACEMENT=MIGRATED,13KH112,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1224633600000,{377A1C1D-7C63-55A2-ADA5-8167E1874359},-71.058133139999939,42.297897577000072,59 (STREET_FEA 1815),STREET_FEA 1815,77,derived_50_100_ft,boston-sam,63623,57 Gibson St,Gibson St,42.29769866,-71.05823059,Bispham Street & Gibson Street,67,nearest_address
32,17KH134,Edison Grn,24 Edison Grn,IS,,1711740226,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1358; METERED_FL=U; PLACEMENT=MIGRATED,17KH134,,,KE,KEK81-A,1995,,,,1,,1177632000000,denapolipd,1220918400000,{F7789A9F-0312-50D3-9668-D4A352C6F327},-71.057726884999965,42.319309548000035,18 OPP (STREET_FEA 1453),STREET_FEA 1453,60,derived_50_100_ft,boston-sam,342538,24 Edison Grn,Edison Grn,42.31932041,-71.05794858,Dorchester Avenue & Edison Green,277,nearest_address
