objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
4,25LH752,Atlantic Avenue,Near Atlantic Avenue & Cross Street,IS,,2512740154,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH752,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{B3F2FE7E-0732-5B8C-9553-BEC0E90B48C2},-71.052111526999965,42.361500586000034,105 OPP (STREET_FEA 341),STREET_FEA 341,157,intersection_preferred_150_plus_ft,boston-sam,161701,101-117 Atlantic Ave,Atlantic Ave,42.36150236,-71.05269481,Atlantic Avenue & Cross Street,279,nearest_intersection
59,23KH826,Essex Street,Near Essex Street & John F. Fitzgerald Surface Road,IS,1086048000000,2311740792,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2324; METERED_FL=U; PLACEMENT=MIGRATED,23KH826,,,KE,KEK81-A,2003,,,,1,,1177632000000,chalmersh,1269302400000,{A0BA9F6B-67A4-54A5-998B-BCDC52AF994F},-71.057246398999951,42.352452498000048,29 (STREET_FEA 3935),STREET_FEA 3935,162,intersection_preferred_150_plus_ft,boston-sam,54296,179-185 Essex St,Essex St,42.35207589,-71.05756807,Essex Street & John F. Fitzgerald Surface Road,204,nearest_intersection
70,24KH259,Province St,1-3 Province St,IS,,2411740317,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3818; METERED_FL=U; PLACEMENT=MIGRATED,24KH259,,,DA,ADB-62-B,1990,,,,1,,1177632000000,BlundoNR,1348099200000,{240BEA27-93BA-5D79-8187-D308BCEEA6C6},-71.059521176999965,42.357623208000064,1 (STREET_FEA 3433),STREET_FEA 3433,58,derived_50_100_ft,boston-sam,168950,1-3 Province St,Province St,42.35761373,-71.05973519,Province Street & School Street,51,nearest_address
78,23LH693,Atlantic Ave,530 Atlantic Ave,IS,,2312740261,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1103; METERED_FL=U; PLACEMENT=denapolipd,23LH693,,,KE,KEK81-A,2002,,,,1,,1247702400000,blundonr,1249430400000,{9757BF34-F77D-552A-A8D4-790D73A08646},-71.053028764999965,42.353869112000041,518-540 (STREET_FEA 341),STREET_FEA 341,42,derived_0_50_ft,boston-sam,350751,530 Atlantic Ave,Atlantic Ave,42.35375361,-71.05301246,Atlantic Avenue & Pearl Street,77,nearest_address
79,24KH262,Tremont St,90-98 Tremont St,IS,,2411740345,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=595; METERED_FL=U; PLACEMENT=MIGRATED,24KH262,,,DA,ADB-62-B,2003,,,,1,,1177632000000,blundonr,1244505600000,{0E879121-9C75-5A42-8424-6EA87882A264},-71.061020758999973,42.357494407000047,94 OPP (STREET_FEA 4211),STREET_FEA 4211,68,derived_50_100_ft,boston-sam,170405,90-98 Tremont St,Tremont St,42.35739124,-71.06080942,Bosworth Street & Tremont Street,45,nearest_address
110,24LH235,Milk St,172-174 Milk St,IS,,2412740253,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=mulline,24LH235,,,MU,MUCENT,2000,,,,1,,1247616000000,blundonr,1249430400000,{FA312521-C169-50B9-B06B-B44053AC2C85},-71.052546778999954,42.358825733000060,87 (STREET_FEA 877),STREET_FEA 877,30,derived_0_50_ft,boston-sam,95437,172-174 Milk St,Milk St,42.35874590,-71.05252301,Central Street & John F. Fitzgerald Surface Road,90,nearest_address
200,23KH938,Essex St,120-128A Essex St,IS,1004140800000,2311740868,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=5849; METERED_FL=U; PLACEMENT=MIGRATED,23KH938,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{C8BCA5D2-6462-5628-8D07-1DB9BB691421},-71.059363157999940,42.352762673000029,82-86 (STREET_FEA 2406),STREET_FEA 2406,56,derived_50_100_ft,boston-sam,54293,120-128A Essex St,Essex St,42.35268867,-71.05918059,Avenue De Lafayette & Kingston Street,25,nearest_address
210,23KH156,Kingston St,3-5 Kingston St,IS,,2311740151,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4048; METERED_FL=U; PLACEMENT=MIGRATED,23KH156,,,KE,KEK81-A,2004,,,,1,,1177632000000,dorleansr,1231718400000,{BC3722AE-C7A1-5D00-8DFC-88FE78E47095},-71.058877340999970,42.353864447000035,11-19 (STREET_FEA 2406),STREET_FEA 2406,37,derived_0_50_ft,boston-sam,166781,3-5 Kingston St,Kingston St,42.35396496,-71.05889810,Kingston Street & Otis Street,107,nearest_address
223,25KH54,Bowdoin St,11-17 Bowdoin St,IS,,2511740394,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=788; METERED_FL=U; PLACEMENT=MIGRATED,25KH54,,,MU,MUCENT,2003,,,,1,,1177632000000,dorleansr,1231891200000,{E4EFE170-6052-52D5-AEBD-53A5F3E78533},-71.062753542999985,42.361011057000042,9 OPP (STREET_FEA 607),STREET_FEA 607,108,derived_100_150_ft,boston-sam,162377,11-17 Bowdoin St,Bowdoin St,42.36085875,-71.06309700,Cambridge Street & New Chardon Street,111,nearest_address
240,23KH803,Summer St,83-87 Summer St,IS,,2311740820,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2406; METERED_FL=U; PLACEMENT=MIGRATED,23KH803,,,KE,KEK81-A,2012,,,,1,,1177632000000,chalmersh,1437609600000,{AB481B25-5DB8-5E14-AFDB-DC5C5939600F},-71.058567344999972,42.353970512000046,83 (STREET_FEA 4048),STREET_FEA 4048,56,derived_50_100_ft,boston-sam,132054,83-87 Summer St,Summer St,42.35382767,-71.05864259,Kingston Street & Otis Street,46,nearest_address
293,22KH784,Frontage Road,Near Frontage Road & Kneeland Street,IS,1076716800000,2211740256,,,GIS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=chalmersh,22KH784,,,KE,KEK81-A,1994,,,,1,,1186617600000,blundonr,1358812800000,{D279DE44-BCBB-53C5-8B3D-F097E944855C},-71.056838272999983,42.348822255000073,STREET_FEA 2749,STREET_FEA 2749,260,intersection_preferred_150_plus_ft,boston-sam,82310,185 Kneeland St,Kneeland St,42.34875867,-71.05780059,Frontage Road & Kneeland Street,274,nearest_intersection
