objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
6,30OH132,Waldemar Ave,142 Waldemar Ave,IS,,3015740010,,,MANUAL,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=1188; METERED_FL=U; PLACEMENT=MIGRATED,30OH132,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1217894400000,{AE1C86CE-9E3B-54A0-AB76-03C7427F3675},-71.004336050999939,42.392736959000047,138 OPP (STREET_FEA 4341),STREET_FEA 4341,96,derived_50_100_ft,boston-sam,141477,142 Waldemar Ave,Waldemar Ave,42.39253868,-71.00457057,Crestway Road & Faywood Avenue,238,nearest_address
50,26NH79,Hotel Drive,Near Hotel Drive & Logan Memorial Way,IS,1046995200000,2614740103,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=3404; METERED_FL=U; PLACEMENT=digiornom,26NH79,,,U,U,,,,,1,,1442880000000,digiornom,1442880000000,{9A38AD15-6020-51EA-93F7-DA4F1B2B5E40},-71.024202017999983,42.366244905000030,STREET_FEA 2010,STREET_FEA 2010,540,intersection_preferred_150_plus_ft,boston-sam,347660,16 Transportation Way,Transportation Way,42.36640924,-71.02619694,Hotel Drive & Logan Memorial Way,169,nearest_intersection
66,26MH4,Marginal St,118 Marginal St,IS,1086048000000,2613740177,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1154; METERED_FL=U; PLACEMENT=MIGRATED,26MH4,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1244505600000,{9709925D-EDAE-57CC-80BF-9FD46C187780},-71.036817064999980,42.365827284000034,118 (STREET_FEA 2702),STREET_FEA 2702,29,derived_0_50_ft,boston-sam,167368,118 Marginal St,Marginal St,42.36590533,-71.03683736,Cottage Street & Marginal Street,38,nearest_address
76,28MH84,Morris St,101A Morris St,IS,694224000000,2813740196,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3484; METERED_FL=U; PLACEMENT=MIGRATED,28MH84,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{E466C402-9BFC-5AAA-930B-CC10BEA70ABD},-71.031343397999933,42.376996409000071,101 (STREET_FEA 2926),STREET_FEA 2926,21,derived_0_50_ft,boston-sam,419651,101A Morris St,Morris St,42.37699748,-71.03126639,Morris Street & Putnam Street,149,nearest_address
81,30OH70,Gladstone St,179 Gladstone St,IS,,3015740088,,,MANUAL,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=658; METERED_FL=U; PLACEMENT=MIGRATED,30OH70,,,MU,MUCENT,1993,,,,1,,1177632000000,mulline,1217894400000,{A04A5A93-1298-5F5A-9E52-7D172F32DDC4},-71.007717431999936,42.389760738000064,179 (STREET_FEA 1826),STREET_FEA 1826,52,derived_50_100_ft,boston-sam,345390,179 Gladstone St,Gladstone St,42.38986869,-71.00759296,Breed Street & Gladstone Street,70,nearest_address
105,30PH4,Bennington St,1181 Bennington St,IS,,3016740046,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=353; METERED_FL=U; PLACEMENT=MIGRATED,30PH4,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1217894400000,{9FAA0E15-0082-5605-B142-BC0C7AD80DCE},-70.999155046999988,42.388338012000077,1181 (STREET_FEA 503),STREET_FEA 503,128,derived_100_150_ft,boston-sam,14586,1181 Bennington St,Bennington St,42.38844251,-70.99869871,Austin Avenue & Palermo Street,65,nearest_address
122,28NH88,Neptune Rd,53 Neptune Rd,IS,1179187200000,2814740097,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=dorleansr,28NH88,,,U,U,,,,,1,,1250726400000,dorleansr,1250726400000,{093C44D7-FA05-5913-824B-670293E911C4},-71.023544507999986,42.378480188000026,73 (STREET_FEA 3026),STREET_FEA 3026,37,derived_0_50_ft,boston-sam,101031,53 Neptune Rd,Neptune Rd,42.37839768,-71.02346658,Lovell Street & Neptune Road,136,nearest_address
124,29OH92,Saratoga St,1066R-1068 Saratoga St,IS,,2915740062,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3750; METERED_FL=U; PLACEMENT=MIGRATED,29OH92,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{BF4D4FCB-C350-5F14-BA88-6C04BD433CAE},-71.003990574999989,42.385722374000068,1066-1068 (STREET_FEA 3793),STREET_FEA 3793,46,derived_0_50_ft,boston-sam,169476,1066R-1068 Saratoga St,Saratoga St,42.38581159,-71.00386970,Saint Edward Road & Saratoga Street,320,nearest_address
139,28NH48,Bennington St,495 Bennington St,IS,,2814740044,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=503; METERED_FL=U; PLACEMENT=MIGRATED,28NH48,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1217894400000,{1F34A7D7-15FB-5FA4-9D4F-05417D200D60},-71.022050356999955,42.381079285000055,STREET_FEA 4090,STREET_FEA 4090,70,derived_50_100_ft,boston-sam,341540,495 Bennington St,Bennington St,42.38108419,-71.02178986,Frankfort Street & Swift Street,19,nearest_address
158,30OH102,Montmorenci Ave,32 Montmorenci Ave,IS,,3015740037,,,MANUAL,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=1629; METERED_FL=U; PLACEMENT=MIGRATED,30OH102,,,MU,MUCENT,1992,,,,1,,1177632000000,mulline,1217894400000,{23D7938A-C939-5F59-8AFA-BB08938A6137},-71.008402084999943,42.391525268000066,32 (STREET_FEA 2905),STREET_FEA 2905,41,derived_0_50_ft,boston-sam,96730,32 Montmorenci Ave,Montmorenci Ave,42.39162868,-71.00834058,Montmorenci Avenue & Orient Avenue,402,nearest_address
164,26MH72,Everett St,106 Everett St,IS,,2613740121,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1154; METERED_FL=U; PLACEMENT=MIGRATED,26MH72,,,KE,KEK11,1974,,,,1,,1177632000000,denapolipd,1217894400000,{0E5ED79D-797B-5643-A102-6EBDEC9A9C39},-71.033896222999942,42.367202727000063,106 (STREET_FEA 1578),STREET_FEA 1578,36,derived_0_50_ft,boston-sam,55023,106 Everett St,Everett St,42.36729868,-71.03387058,Everett Street & Lowland Place,71,nearest_address
