objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
18,22HH184,Brookline Ave,144-180 Brookline Ave,IS,1137715200000,2208740333,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2394; METERED_FL=U; PLACEMENT=mulline,22HH184,,,MU,MUCENT,2006,,,,1,,1219881600000,blundonr,1264377600000,{CD944DBF-31F8-5CDF-9CBE-AAECF0DBB45E},-71.101027319999957,42.344726989000037,1375 BACK (STREET_FEA 620),STREET_FEA 620,95,derived_50_100_ft,boston-sam,341545,144-180 Brookline Ave,Brookline Ave,42.34447111,-71.10109888,Brookline Avenue & Fullerton Street,62,nearest_address
24,21HH46,Peterborough St,137 Peterborough St,IS,,2108740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=620; METERED_FL=U; PLACEMENT=MIGRATED,21HH46,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{6701EEA6-F1DC-5598-BFBD-A27277481598},-71.101290187999950,42.342696590000060,137 (STREET_FEA 3291),STREET_FEA 3291,61,derived_50_100_ft,boston-sam,109780,137 Peterborough St,Peterborough St,42.34285167,-71.10120360,Park Drive & Peterborough Street,162,nearest_address
33,22IH4,Hemenway St,56-60 Hemenway St,IS,,2209740252,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=736; METERED_FL=U; PLACEMENT=MIGRATED,22IH4,,,KE,KEK81-A,1998,,,,1,,1177632000000,chalmersh,1250208000000,{621989A9-EBA4-53DA-BA03-474AE5B4D6A9},-71.089579671999957,42.344788364000067,60 (STREET_FEA 2103),STREET_FEA 2103,38,derived_0_50_ft,boston-sam,72712,56-60 Hemenway St,Hemenway St,42.34480867,-71.08944060,Burbank Street & Hemenway Street,66,nearest_address
36,21IH153,Westland Ave,35 Westland Ave,IS,,2109740002,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=736; METERED_FL=U; PLACEMENT=MIGRATED,21IH153,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{4C8F0715-75AD-5E9E-9D05-603608038C3C},-71.087064918999943,42.343959350000034,221 (STREET_FEA 1448),STREET_FEA 1448,67,derived_50_100_ft,boston-sam,171752,35 Westland Ave,Westland Ave,42.34392996,-71.08730889,Burbank Street & Edgerly Road,153,nearest_address
42,21IH84,Symphony Rd,71 Symphony Rd,IS,,2109740069,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5736; METERED_FL=U; PLACEMENT=MIGRATED,21IH84,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{6C221F46-CF80-58FA-94A8-62912258F7E5},-71.089497934999940,42.343090810000035,63 (STREET_FEA 4097),STREET_FEA 4097,72,derived_50_100_ft,boston-sam,133523,71 Symphony Rd,Symphony Rd,42.34328867,-71.08951060,Hemenway Street & Symphony Road,172,nearest_address
69,22IH153,Westland Ave,91 Westland Ave,IS,249782400000,2209740299,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4474; METERED_FL=U; PLACEMENT=MIGRATED,22IH153,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{DD1FDD42-5FDB-5A60-A554-6AE6C2A11900},-71.089759353999966,42.344109334000052,94-96 (STREET_FEA 2103),STREET_FEA 2103,54,derived_50_100_ft,boston-sam,148513,91 Westland Ave,Westland Ave,42.34415867,-71.08957060,Hemenway Street & Westland Avenue,68,nearest_address
83,22IH47,Haviland St,16-18 Haviland St,IS,,2209740155,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1448; METERED_FL=U; PLACEMENT=MIGRATED,22IH47,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{F0BF12E4-A5AB-5B11-82FB-26F577041E48},-71.088322964999975,42.346327141000074,22 (STREET_FEA 2077),STREET_FEA 2077,42,derived_0_50_ft,boston-sam,71359,16-18 Haviland St,Haviland St,42.34621520,-71.08829180,Edgerly Road & Haviland Street,42,nearest_address
234,22HH166,Cummington Mall,42-46 Cummington Mall,IS,901238400000,2208740329,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2167; METERED_FL=U; PLACEMENT=MIGRATED,22HH166,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1244505600000,{7B2A0DAA-109B-5F83-82C7-FC9932D9FA09},-71.102895054999976,42.348765663000052,640 BACK (STREET_FEA 1092),STREET_FEA 1092,74,derived_50_100_ft,boston-sam,350782,42-46 Cummington Mall,Cummington Mall,42.34856322,-71.10287756,Commonwealth Avenue & Granby Street,359,nearest_address
308,21HH74,Park Dr,117 Park Dr,IS,,2108740109,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2312; METERED_FL=U; PLACEMENT=MIGRATED,21HH74,,,DA,ADB-84-B,1998,,,,1,,1177632000000,blundonr,1255478400000,{29F3B025-72CD-5D43-BC0A-4CEE54D19668},-71.097229346999939,42.341862806000051,117 (STREET_FEA 3206),STREET_FEA 3206,54,derived_50_100_ft,boston-sam,106643,117 Park Dr,Park Dr,42.34200867,-71.09727060,Jersey Street & Park Drive,185,nearest_address
356,20IH58,Leon St,43 Leon St,IS,707356800000,2009740004,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5061; METERED_FL=U; PLACEMENT=MIGRATED,20IH58,,,KE,KEK81-A,2005,,,,1,,1177632000000,blundonr,1230076800000,{56C35858-B681-51A2-87B2-0E7A9F0F9B3C},-71.090899234999938,42.338363463000064,43 (STREET_FEA 2511),STREET_FEA 2511,57,derived_50_100_ft,boston-sam,167020,43 Leon St,Leon St,42.33824744,-71.09075755,Greenleaf Street & Leon Street,60,nearest_address
370,22HH64,Boylston Street,Near Boylston Street & Richard B. Ross Way,IS,,2208740320,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2394; METERED_FL=U; PLACEMENT=MIGRATED,22HH64,,,US,USMET250,1990,,,,1,,1177632000000,digiornom,1443744000000,{686CB70A-D41E-5B4F-8DB5-FA795AF650D0},-71.099381526999935,42.344256144000042,1341 (STREET_FEA 620),STREET_FEA 620,151,intersection_preferred_150_plus_ft,boston-sam,354118,1321-1341 Boylston St,Boylston St,42.34466251,-71.09948546,Boylston Street & Richard B. Ross Way,157,nearest_intersection
384,22HH26,Mountfort St,98 Mountfort St,IS,1124755200000,2208740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3206; METERED_FL=U; PLACEMENT=MIGRATED,22HH26,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{9E1AA8AB-35F2-579E-9A4C-2C7C7E21BA9B},-71.105171488999986,42.348308881000037,96 OPP (STREET_FEA 2966),STREET_FEA 2966,60,derived_50_100_ft,boston-sam,167860,98 Mountfort St,Mountfort St,42.34819342,-71.10533194,Mountfort Street & Park Drive,221,nearest_address
430,21IH78,Saint Stephen St,56 Saint Stephen St,IS,,2109740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1769; METERED_FL=U; PLACEMENT=MIGRATED,21IH78,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{2CB56A13-80E0-5568-9C4A-45A0DF5E26CC},-71.087205715999971,42.342033957000069,56 (STREET_FEA 3768),STREET_FEA 3768,37,derived_0_50_ft,boston-sam,121634,56 Saint Stephen St,Saint Stephen St,42.34199567,-71.08707760,Gainsborough Street & Saint Stephen Street,34,nearest_address
451,22HH104,Lansdowne St,49-65 Lansdowne St,IS,,2208740173,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,22HH104,,,US,USMET250,1999,,,,1,,1177632000000,blundonr,1255478400000,{B013AF23-BFB9-5879-8AAA-07C959D9A8A7},-71.097451354999976,42.347220419000053,65 (STREET_FEA 5251),STREET_FEA 5251,110,derived_100_150_ft,boston-sam,166950,49-65 Lansdowne St,Lansdowne St,42.34741192,-71.09713688,Brookline Avenue & Lansdowne Street,291,nearest_address
