objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
339,24KH178,State St,92 State St,IS,,2411740120,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3998; METERED_FL=U; PLACEMENT=MIGRATED,24KH178,,,MU,MUCENT,2006,,,,1,,1177632000000,dorleansr,1231804800000,{38714433-5663-53DA-AB1D-FC37B440395A},-71.055428412999959,42.359182682000039,7 OPP (STREET_FEA 2821),STREET_FEA 2821,33,derived_0_50_ft,boston-sam,170003,92 State St,State St,42.35923129,-71.05532418,Merchants Row & State Street,40,nearest_address
346,25KH128,Union St,1-13 Union St,IS,,2511740435,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3090; METERED_FL=U; PLACEMENT=MIGRATED,25KH128,,,MU,MUCENT,2006,,,,1,,1177632000000,blundonr,1244505600000,{9736B0D2-9668-5AB8-AC6C-FB9FE9A322AF},-71.057100170999945,42.360520585000074,STREET_FEA 1103,STREET_FEA 1103,129,derived_100_150_ft,boston-sam,155717,1-13 Union St,Union St,42.36068030,-71.05667368,Congress Street & North Street,75,nearest_address
359,25KH828,John F. Fitzgerald Surface Road,Near John F. Fitzgerald Surface Road & Sudbury Street,IS,1086048000000,2511740531,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3044; METERED_FL=U; PLACEMENT=chalmersh,25KH828,,,U,U,,,,,1,,1271289600000,mulline,1396828800000,{CFBA351B-5B7D-5551-91C1-117891327E28},-71.057321770999977,42.362558114000080,136 (STREET_FEA 549),STREET_FEA 549,150,intersection_preferred_150_plus_ft,boston-sam,15795,136 Blackstone St,Blackstone St,42.36216557,-71.05749481,John F. Fitzgerald Surface Road & Sudbury Street,94,nearest_intersection
423,24KH240,Ashburton Pl,8 Ashburton Pl,IS,,2411740151,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=314; METERED_FL=U; PLACEMENT=MIGRATED,24KH240,,,DA,ADB-62-B,2005,,,,1,,1177632000000,blundonr,1244505600000,{40A34D11-AB8B-57AA-A984-6B0ADEB1E3F4},-71.061584613999969,42.358902409000052,14 (STREET_FEA 3931),STREET_FEA 3931,75,derived_50_100_ft,boston-sam,341223,8 Ashburton Pl,Ashburton Pl,42.35897187,-71.06184853,Ashburton Place & Somerset Street,104,nearest_address
705,24KH821,Cambridge Street,Near Cambridge Street & New Sudbury Street,IS,1005955200000,2411740715,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3931; METERED_FL=U; PLACEMENT=MIGRATED,24KH821,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231977600000,{C4645280-F431-521C-8795-4899E15A5492},-71.060482371999967,42.360359452000068,STREET_FEA 789,STREET_FEA 789,222,intersection_preferred_150_plus_ft,boston-sam,172818,1-3 Center Plz,Center Plz,42.35978201,-71.06021939,Cambridge Street & New Sudbury Street,293,nearest_intersection
727,25KH405,Sudbury St,40 Sudbury St,IS,,2511740478,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1103; METERED_FL=U; PLACEMENT=MIGRATED,25KH405,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{87BF0DE9-E662-5EF8-9504-3253C55F5732},-71.059781915999963,42.361732836000044,15 (STREET_FEA 3044),STREET_FEA 3044,146,derived_100_150_ft,boston-sam,101187,40 Sudbury St,Sudbury St,42.36182867,-71.06031059,Bowker Street & Hawkins Street,167,nearest_address
913,25KH74,Hawkins St,40 Hawkins St,IS,,2511740336,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=654; METERED_FL=U; PLACEMENT=MIGRATED,25KH74,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{4D71A7EA-27FB-52F5-88BC-09CE56822403},-71.061708850999935,42.361729054000079,7 OPP (STREET_FEA 728),STREET_FEA 728,99,derived_50_100_ft,boston-sam,71503,40 Hawkins St,Hawkins St,42.36182910,-71.06136608,Bulfinch Place & New Chardon Street,222,nearest_address
1020,24KH188,State St,112-116 State St,IS,,2411330009,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=677; METERED_FL=U; PLACEMENT=MIGRATED,24KH188,,,LO,U,,,,,1,,1177632000000,mulline,1396828800000,{60D33DD4-E174-58C1-9D8C-44D1EC99BDED},-71.054916548999984,42.359174768000059,110 (STREET_FEA 3998),STREET_FEA 3998,44,derived_0_50_ft,boston-sam,130370,112-116 State St,State St,42.35928775,-71.05485358,Broad Street & State Street,72,nearest_address
1361,25KH804,Cambridge Street,Near Cambridge Street & New Sudbury Street,IS,1005955200000,2511740507,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3044; METERED_FL=U; PLACEMENT=MIGRATED,25KH804,,,KE,KEK81-A,1995,,,,1,,1177632000000,dorleansr,1231891200000,{AC742578-B733-588B-9172-E534B1005018},-71.060536835999983,42.360728009000070,STREET_FEA 789,STREET_FEA 789,332,intersection_preferred_150_plus_ft,boston-sam,157444,1 Bulfinch Pl,Bulfinch Pl,42.36160479,-71.06087817,Cambridge Street & New Sudbury Street,215,nearest_intersection
2199,25KH746,Union St,50 Union St,IS,,2511740480,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2723; METERED_FL=U; PLACEMENT=MIGRATED,25KH746,,,DA,ADB-62-B,2003,,,,1,,1177632000000,connorsm,1391644800000,{8795AB19-96EE-54D0-AC12-80AE7438B272},-71.057668546999935,42.361200262000068,37 (STREET_FEA 4251),STREET_FEA 4251,112,derived_100_150_ft,boston-sam,342040,50 Union St,Union St,42.36128968,-71.05726833,Congress Street & Hanover Street,124,nearest_address
2482,25KH245,Union St,50 Union St,IS,,2511740348,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2723; METERED_FL=U; PLACEMENT=MIGRATED,25KH245,,,DA,ADB-62-B,2007,,,,1,,1177632000000,blundonr,1244505600000,{74F0F381-DF68-56BF-BAF4-EB17B770E96C},-71.057286991999945,42.361522816000047,45-55 OPP (STREET_FEA 4251),STREET_FEA 4251,85,derived_50_100_ft,boston-sam,342040,50 Union St,Union St,42.36128968,-71.05726833,Hanover Street & Union Street,60,nearest_address
