objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
39,15GH100,Sedgwick St,60 Sedgwick St,IS,,1507740094,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1500; METERED_FL=U; PLACEMENT=MIGRATED,15GH100,,,WA,WAWB67P,1980,,,,1,,1177632000000,chalmersh,1233532800000,{9A841AD3-105D-5CB4-A045-ED0366DF23B7},-71.113122777999934,42.308689354000080,60 (STREET_FEA 3844),STREET_FEA 3844,46,derived_0_50_ft,boston-sam,124811,60 Sedgwick St,Sedgwick St,42.30880866,-71.11318061,Carolina Avenue & Verona Street,308,nearest_address
51,18GH40,Heath Street,Near Heath Street & South Huntington Avenue,IS,,1807740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=MIGRATED,18GH40,,,KE,KEK81,1994,,,,1,,1177632000000,palaciolv,1231718400000,{0975464F-3798-583D-A736-1608A6A57254},-71.111237617999961,42.327146523000067,161 (STREET_FEA 55),STREET_FEA 55,196,intersection_preferred_150_plus_ft,boston-sam,443010,161 S Huntington Ave,S Huntington Ave,42.32692797,-71.11190173,Heath Street & South Huntington Avenue,573,nearest_intersection
53,14GH82,Arborway,Near Arborway & Orchardhill Road,IS,,1407740142,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=279; METERED_FL=U; PLACEMENT=MIGRATED,14GH82,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{79AEB0CB-F335-5021-9E53-C539ED6A86E3},-71.111590302999957,42.300730742000042,STREET_FEA 3162,STREET_FEA 3162,163,intersection_preferred_150_plus_ft,boston-sam,355807,3694R Washington St,Washington St,42.30069267,-71.11219498,Arborway & Orchardhill Road,152,nearest_intersection
84,14FH46,Westchester Rd,19 Westchester Rd,IS,,1406740055,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=882; METERED_FL=U; PLACEMENT=MIGRATED,14FH46,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{9470A72E-3233-5F46-BAA9-54F378D135C5},-71.125895403999948,42.303184100000067,19 (STREET_FEA 4466),STREET_FEA 4466,49,derived_0_50_ft,boston-sam,148068,19 Westchester Rd,Westchester Rd,42.30331866,-71.12589061,Centre Street & Westchester Road,171,nearest_address
85,14FH56,Louder's Ln,80 Louder's Ln,IS,,1406740003,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2543; METERED_FL=U; PLACEMENT=MIGRATED,14FH56,,,MU,MUCENT,1991,,,,1,,1177632000000,denapolipd,1250035200000,{78B71952-05DD-548C-A3BF-C897528F5C21},-71.129494734999980,42.305660701000079,80 OPP (STREET_FEA 2610),STREET_FEA 2610,66,derived_50_100_ft,boston-sam,87547,80 Louder's Ln,Louder's Ln,42.30547866,-71.12948061,Calvin Road & Louder's Lane,146,nearest_address
177,15FH118,Arborway Ter,18 Arborway Ter,IS,1242345600000,1506740125,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=882; METERED_FL=U; PLACEMENT=mulline,15FH118,,,KE,KEK81-A,2009,,,,1,,1398211200000,mulline,1398211200000,{9938C6C2-13DD-5634-8A1C-1DBEB7198BA9},-71.119592952999938,42.309544801000072,18 (STREET_FEA 277),STREET_FEA 277,29,derived_0_50_ft,boston-sam,4314,18 Arborway Ter,Arborway Ter,42.30949866,-71.11968061,Arborway Terrace & Centre Street,242,nearest_address
179,15FH108,Dane St,16 Dane St,IS,1181692800000,1506740004,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1254; METERED_FL=U; PLACEMENT=MIGRATED,15FH108,,,MU,MUCENT,2006,,,,1,,1177632000000,blundonr,1230076800000,{80C41BE5-E5D9-565E-9344-D36571B2DA6B},-71.118782119999935,42.311074200000064,59 OPP (STREET_FEA 177),STREET_FEA 177,36,derived_0_50_ft,boston-sam,46090,16 Dane St,Dane St,42.31099966,-71.11886761,Dane Street & Dunster Road,38,nearest_address
181,16HH36,Merriam St,16 Merriam St,IS,675734400000,1608740113,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=704; METERED_FL=U; PLACEMENT=MIGRATED,16HH36,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1230076800000,{346CFE99-4AC5-5622-A892-101CF71FFE63},-71.103756210999961,42.313960179000048,STREET_FEA 2827,STREET_FEA 2827,68,derived_50_100_ft,boston-sam,94669,16 Merriam St,Merriam St,42.31390866,-71.10400060,Brookside Avenue & Merriam Street,203,nearest_address
239,15HH24,Forest Hills St,98 Forest Hills St,IS,1086048000000,1508740058,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1829; METERED_FL=U; PLACEMENT=MIGRATED,15HH24,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1230076800000,{8E457938-2F6F-52CE-82DE-C59B26EA5F17},-71.102509853999948,42.308976266000059,96 OPP (STREET_FEA 1696),STREET_FEA 1696,81,derived_50_100_ft,boston-sam,59495,98 Forest Hills St,Forest Hills St,42.30895866,-71.10221060,Forest Hills Street & Glen Road,39,nearest_address
282,16FH60,Dunster Rd,82R-84 Dunster Rd,IS,1181692800000,1606740059,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1254; METERED_FL=U; PLACEMENT=MIGRATED,16FH60,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1230076800000,{FAD639A2-394E-587B-81A6-C44E771416D3},-71.119306366999979,42.311798976000034,84 (STREET_FEA 1409),STREET_FEA 1409,54,derived_50_100_ft,boston-sam,164605,82R-84 Dunster Rd,Dunster Rd,42.31169426,-71.11945036,Dane Street & Dunster Road,268,nearest_address
286,15GH152,Everett St,2 Everett St,IS,,1507740032,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1500; METERED_FL=U; PLACEMENT=MIGRATED,15GH152,,,US,USSEN,1982,,,,1,,1177632000000,blundonr,1255478400000,{39DD64EC-23AD-5148-ABCD-B6D0EEF0EB74},-71.108706971999936,42.310476264000044,17 OPP (STREET_FEA 1876),STREET_FEA 1876,33,derived_0_50_ft,boston-sam,55203,2 Everett St,Everett St,42.31039866,-71.10877060,Elm Street & Everett Street,80,nearest_address
310,11GH12,Hyde Park Ave,362 Hyde Park Ave,IS,879897600000,1107740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4650; METERED_FL=U; PLACEMENT=MIGRATED,11GH12,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{057DE8F5-8500-5280-8C6F-1B8C627DE828},-71.118236661999958,42.288544358000081,362 (STREET_FEA 2250),STREET_FEA 2250,43,derived_0_50_ft,boston-sam,77311,362 Hyde Park Ave,Hyde Park Ave,42.28856866,-71.11808061,Hyde Park Avenue & Wyvern Street,110,nearest_address
314,17GH116,Beecher St,15 Beecher St,IS,,1707740108,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=621; METERED_FL=U; PLACEMENT=MIGRATED,17GH116,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1231459200000,{273145D2-15B6-5489-B7FB-83F1514CE170},-71.107158444999982,42.318348610000044,15 (STREET_FEA 469),STREET_FEA 469,44,derived_0_50_ft,boston-sam,13402,15 Beecher St,Beecher St,42.31842866,-71.10728060,Beecher Street & Paul Gore Street,227,nearest_address
315,15GH116,Roanoke Ave,16 Roanoke Ave,IS,536457600000,1507740035,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3622; METERED_FL=U; PLACEMENT=MIGRATED,15GH116,,,WA,WAWB67P,1990,,,,1,,1177632000000,blundonr,1255478400000,{5A78C7E2-14BB-592E-BF8E-7713DB061947},-71.112307830999953,42.310448241000074,17 OPP (STREET_FEA 223),STREET_FEA 223,52,derived_50_100_ft,boston-sam,117200,16 Roanoke Ave,Roanoke Ave,42.31042309,-71.11211894,Alveston Street & Harris Avenue,128,nearest_address
