objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
898,23KH961,STREET_FEA 440,85 (STREET_FEA 440),IS,1086048000000,2311740891,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2253; METERED_FL=U; PLACEMENT=denapolipd,23KH961,,,MU,MUCENT,2005,,,,1,,1247616000000,chalmersh,1269216000000,{2C9971A1-DC33-50FE-A041-468237735512},-71.059172602999979,42.351002158000028
1631,23KH194,STREET_FEA 2413,158-162 (STREET_FEA 2413),IS,1086048000000,2311740673,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3935; METERED_FL=U; PLACEMENT=MIGRATED,23KH194,,,MU,MUCENT,2005,,,,1,,1177632000000,chalmersh,1268956800000,{7A816CB2-51E3-5820-BB3D-9181CF5FDF90},-71.057785328999955,42.349785702000077
1795,23KH891,STREET_FEA 440,109-111 (STREET_FEA 440),IS,,2311740758,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4266; METERED_FL=U; PLACEMENT=MIGRATED,23KH891,,,KE,KEK81-A,2011,,,,1,,1177632000000,blundonr,1400025600000,{798BB425-7D52-5DDA-93A9-42FFEE4D7C3B},-71.057983569999976,42.350723503000040
2543,23KH160,STREET_FEA 2551,216 (STREET_FEA 2551),IS,,2311330017,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH160,,,LO,U,,,,,1,,1177632000000,poyantm,1464739200000,{67CA2DA2-A7F7-55BD-80BB-6984F10AA63A},-71.058941787999970,42.350071932000048
3207,23KH211,STREET_FEA 1426,20-24 OPP (STREET_FEA 1426),IS,,2311740448,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=341; METERED_FL=U; PLACEMENT=MIGRATED,23KH211,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1244505600000,{F9324786-51FA-58B5-982B-42A80C4735A0},-71.056687519999969,42.351364510000053
3397,23KH892,STREET_FEA 2551,166 OPP (STREET_FEA 2551),IS,,2311740839,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH892,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{B477BB04-2D4F-5FB5-AB8E-7671ECC8C7E3},-71.058703514999934,42.350736834000031
3792,23KH203,STREET_FEA 341,745 (STREET_FEA 341),IS,883612800000,2311740761,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH203,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1244505600000,{7D907FFA-E228-59D4-8810-4E15C06B4667},-71.056807686999946,42.350423673000080
3867,23KH870,STREET_FEA 2551,104 (STREET_FEA 2551),IS,,2311740771,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4233; METERED_FL=U; PLACEMENT=MIGRATED,23KH870,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{B59390BF-C6B3-585F-8250-A499BA71B2A7},-71.058161747999975,42.351623226000072
4145,23KH166,STREET_FEA 2551,109 (STREET_FEA 2551),IS,,2311740770,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4233; METERED_FL=U; PLACEMENT=MIGRATED,23KH166,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1244505600000,{EB981F75-D329-5E56-9911-BDEDEF56A70B},-71.058377163999978,42.351608516000056
4330,23KH163,STREET_FEA 2551,155-205 (STREET_FEA 2551),IS,,2311740752,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH163,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1244505600000,{46290F88-A1A6-5898-9FCA-3DF55D1A7A9C},-71.058695661999934,42.350814006000064
4375,23KH873,STREET_FEA 2551,130-136 (STREET_FEA 2551),IS,,2311740769,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH873,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{A2BA6B24-3571-552D-8ECF-C5939371F3DB},-71.058293789999937,42.351301908000039
4643,23KH196,STREET_FEA 3935,215 (STREET_FEA 3935),IS,,2311740764,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH196,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{F6AAD40A-BF57-5A42-A837-9FC3755C9A1A},-71.057689683999968,42.349835483000049
4665,23KH867,STREET_FEA 2551,66-86 (STREET_FEA 2551),IS,1086048000000,2311740785,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1551; METERED_FL=U; PLACEMENT=MIGRATED,23KH867,,,MU,MUCENT,2003,,,,1,,1177632000000,chalmersh,1269302400000,{40DC9E9D-3D1C-5CDE-B7EA-96A973341F2D},-71.058199205999983,42.352024102000030
5437,23KH966,STREET_FEA 1551,215 (STREET_FEA 1551),IS,,2311740896,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=dorleansr,23KH966,,,KE,U,,,,,1,,1262044800000,blundonr,1275436800000,{5866493D-9212-5FA3-ADB2-8A8FCA6CD704},-71.056165382999950,42.351784991000045
5775,23KH199,STREET_FEA 341,757 (STREET_FEA 341),IS,1076716800000,2311740762,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH199,,,KE,KEK81-A,2000,,,,1,,1177632000000,blundonr,1244505600000,{50CAE608-9DE3-5A1E-AA4F-20E317C51051},-71.057048643999963,42.349737734000030
6056,23KH890,STREET_FEA 440,85-89 (STREET_FEA 440),IS,,2311740753,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2551; METERED_FL=U; PLACEMENT=MIGRATED,23KH890,,,KE,KEK81-A,2011,,,,1,,1177632000000,blundonr,1396569600000,{6C094426-286A-5C49-85A6-321F89FC7E72},-71.058708395999986,42.350896676000048
8294,23KH206,STREET_FEA 341,717-719 (STREET_FEA 341),IS,504921600000,2311740767,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH206,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1244505600000,{D13EEF4E-A4DC-5C54-BD26-5C7A6FAB5833},-71.056522011999959,42.350861131000045
8501,23KH893,STREET_FEA 440,116 (STREET_FEA 440),IS,,2311740759,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3935; METERED_FL=U; PLACEMENT=MIGRATED,23KH893,,,KE,KEK81-A,2011,,,,1,,1177632000000,blundonr,1396569600000,{FE8DABDD-31F8-5478-B163-AD5BA33DC7F5},-71.057619186999943,42.350751104000040
8502,23KH835,STREET_FEA 440,134-140 (STREET_FEA 440),IS,,2311740760,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=341; METERED_FL=U; PLACEMENT=MIGRATED,23KH835,,,KE,KEK81-A,2012,,,,1,,1177632000000,blundonr,1396569600000,{09451BDF-01F7-588B-8CF2-3440C3D7C24C},-71.056821420999938,42.350555570000040
9073,23KH951,STREET_FEA 3935,192-194 (STREET_FEA 3935),IS,978998400000,2311740881,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=chalmersh,23KH951,,,KE,KEK81-A,1995,,,,1,,1188172800000,blundonr,1244505600000,{740B79CA-C610-5EF0-9F53-B8DE064865EA},-71.057482885999946,42.349950570000033
9219,23KH916,STREET_FEA 3935,195 (STREET_FEA 3935),IS,,2311330018,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH916,,,LO,U,,,,,1,,1177632000000,poyantm,1464739200000,{8D3FFCB8-F509-5274-A9C0-D85F46DA4135},-71.057529349999982,42.350139025000033
10473,23KH201,STREET_FEA 440,143 (STREET_FEA 440),IS,662688000000,2311740572,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3935; METERED_FL=U; PLACEMENT=MIGRATED,23KH201,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1244505600000,{9CFF6402-C94E-5BFF-8269-2E94660616F4},-71.057299934999946,42.350554223000074
10485,23KH164,STREET_FEA 440,85-89 (STREET_FEA 440),IS,,2311740508,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2324; METERED_FL=U; PLACEMENT=MIGRATED,23KH164,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1244505600000,{61398613-5792-5C07-8575-37761990B51C},-71.059035739999956,42.350960113000042
10494,23KH967,STREET_FEA 1551,200 (STREET_FEA 1551),IS,1212624000000,2311740897,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3935; METERED_FL=U; PLACEMENT=dorleansr,23KH967,,,KE,KEK81,2009,,,,1,,1262044800000,blundonr,1275436800000,{68032780-D68F-5517-AA71-2032FC56B347},-71.056991638999989,42.351998858000059
11933,23KH871,STREET_FEA 4266,2 (STREET_FEA 4266),IS,344476800000,2311740772,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4233; METERED_FL=U; PLACEMENT=MIGRATED,23KH871,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1264377600000,{8C2550A4-6B2A-5B95-BC96-197D1400AAF6},-71.057835739999973,42.351603242000067
12680,23KH953,STREET_FEA 1426,STREET_FEA 1426,IS,978998400000,2311740883,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=341; METERED_FL=U; PLACEMENT=chalmersh,23KH953,,,KE,KEK81-A,1995,,,,1,,1188518400000,blundonr,1244505600000,{F52B153F-9800-54CA-9EA7-2EFAD565463F},-71.056502074999969,42.351288009000029
12873,23KH895,STREET_FEA 3935,179-193 (STREET_FEA 3935),IS,978998400000,2311740857,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH895,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{08EA0E70-B154-5658-85B4-1493913E1E3A},-71.057599067999945,42.350257181000075
13038,23KH875,STREET_FEA 3935,127-133 (STREET_FEA 3935),IS,978998400000,2311740847,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4233; METERED_FL=U; PLACEMENT=MIGRATED,23KH875,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{02BE406E-9B44-55D1-9DB8-4AB535428719},-71.057432007999978,42.351164345000029
13179,23KH868,STREET_FEA 2551,66-86 (STREET_FEA 2551),IS,1086048000000,2311740773,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4233; METERED_FL=U; PLACEMENT=MIGRATED,23KH868,,,DA,ADB-62-B,1990,,,,1,,1177632000000,chalmersh,1269302400000,{F8750B83-B930-5F0E-9CE2-432781319C50},-71.058103308999989,42.351780594000047
13234,23KH896,STREET_FEA 2551,202 OPP (STREET_FEA 2551),IS,,2311740756,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH896,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{AAF9EC8A-DBAB-5985-BA59-7457C25E06C3},-71.058914722999987,42.350234167000053
13365,23KH865,STREET_FEA 2551,66-86 (STREET_FEA 2551),IS,1086048000000,2311740784,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1551; METERED_FL=U; PLACEMENT=MIGRATED,23KH865,,,DA,ADB-62-B,1990,,,,1,,1177632000000,chalmersh,1269388800000,{2514EA08-02DE-5BBE-B87E-B497DCF5876C},-71.057981765999955,42.352153464000025
