objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
170,21HH112,STREET_FEA 5850,77 BACK (STREET_FEA 5850),IS,1130889600000,2108740189,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=mulline,21HH112,,,KE,KEK81-A,2007,,,,1,,1226534400000,blundonr,1264377600000,{552BAF50-2BEC-56EF-843D-B696E21E6A5C},-71.103678026999944,42.339045352000028
251,20HH52,STREET_FEA 5850,78 (STREET_FEA 5850),IS,,2008740016,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,20HH52,,,KE,KEK81-A,2007,,,,1,,1177632000000,mulline,1231804800000,{C5A72AEA-DB3F-51A9-91D9-1C601C540487},-71.102174386999934,42.338387633000025
329,20HH32,STREET_FEA 2239,677 (STREET_FEA 2239),IS,,2008740170,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4519; METERED_FL=U; PLACEMENT=MIGRATED,20HH32,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{9DF38F8B-C077-528F-B833-9F84F200EEBC},-71.103058809999936,42.334986038000068
450,20HH48,STREET_FEA 2595,320 (STREET_FEA 2595),IS,960595200000,2008740034,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=MIGRATED,20HH48,,,MU,MUCENT,1992,,,,1,,1177632000000,mulline,1231804800000,{38618927-3A2C-5BF5-9467-EE4EBC2CD072},-71.105543995999938,42.337862024000060
1191,21GH28,STREET_FEA 3308,94 (STREET_FEA 3308),IS,631152000000,2107740016,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3405; METERED_FL=U; PLACEMENT=MIGRATED,21GH28,,,DA,ADB-84-B,2005,,,,1,,1177632000000,blundonr,1255478400000,{105F71C2-0927-5E0E-960A-9D2BEC12EF24},-71.106531285999949,42.341116488000068
1193,21GH18,STREET_FEA 3338,2 (STREET_FEA 3338),IS,865123200000,2107740026,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,21GH18,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{C33AAF4F-7EB9-559F-9B38-CE563B2F262A},-71.108568698999989,42.340490343000056
1658,21HH26,STREET_FEA 3308,38 (STREET_FEA 3308),IS,,2108740070,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=MIGRATED,21HH26,,,US,USMET250,1997,,,,1,,1177632000000,blundonr,1255478400000,{F7BE5F83-2B9F-5EDA-9F76-8903D91B9284},-71.104420474999984,42.342573943000048
1764,21GH6,STREET_FEA 2595,372 (STREET_FEA 2595),IS,315532800000,2107740047,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=MIGRATED,21GH6,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{1CD3C3DA-AA10-5FFD-9188-1473FFA37D49},-71.108372294999981,42.339363553000055
1808,20GH38,STREET_FEA 3308,185 (STREET_FEA 3308),IS,,2007740006,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1284; METERED_FL=U; PLACEMENT=MIGRATED,20GH38,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1231718400000,{7D1316AA-9BD7-5A6B-9C90-370FF511A31A},-71.109350605999964,42.338425431000076
2052,21GH10,STREET_FEA 356,10 (STREET_FEA 356),IS,,2107740041,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,21GH10,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1244419200000,{6FD276F6-5988-5C2E-B47D-09BCF01FDA2E},-71.109595474999935,42.339578446000075
2136,20HH86,STREET_FEA 1571,22 OPP (STREET_FEA 1571),IS,,2008740027,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2614; METERED_FL=U; PLACEMENT=MIGRATED,20HH86,,,MU,MUCENT,1976,,,,1,,1177632000000,blundonr,1255478400000,{23C403BE-B6D0-5161-B6EB-9C3E5D599511},-71.097676859999979,42.338031496000042
