objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
1,26KH72,STREET_FEA 1082,STREET_FEA 1082,IS,,2611740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2291; METERED_FL=U; PLACEMENT=MIGRATED,26KH72,,,US,USMET250,1988,,,,1,,1177632000000,dorleansr,1231891200000,{C2ED89BD-AEFF-5164-9526-C9BAE2F2DEC8},-71.054908647999980,42.367904529000043
2,22KH40,STREET_FEA 2032,1105 (STREET_FEA 2032),IS,,2211740106,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2115; METERED_FL=U; PLACEMENT=MIGRATED,22KH40,,,WA,WAWB67P,1976,,,,1,,1177632000000,blundonr,1255478400000,{9137B1D0-8236-5D4E-8E2E-886C8AEE2F32},-71.063424541999950,42.346193025000048
3,11CH8,STREET_FEA 4281,9-11 (STREET_FEA 4281),IS,,1103740177,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3785; METERED_FL=U; PLACEMENT=MIGRATED,11CH8,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{1B9867C5-647D-570E-BDD7-02FF69A0AEB5},-71.168326684999954,42.284418991000052
4,25LH752,STREET_FEA 341,105 OPP (STREET_FEA 341),IS,,2512740154,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH752,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{B3F2FE7E-0732-5B8C-9553-BEC0E90B48C2},-71.052111526999965,42.361500586000034
5,13JH40,STREET_FEA 3959,44 (STREET_FEA 3959),IS,,1310740195,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=332; METERED_FL=U; PLACEMENT=MIGRATED,13JH40,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{42A2F21C-D59E-51F2-973E-9DFA70C4FD65},-71.076593058999947,42.295559600000047
6,30OH132,STREET_FEA 4341,138 OPP (STREET_FEA 4341),IS,,3015740010,,,MANUAL,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=1188; METERED_FL=U; PLACEMENT=MIGRATED,30OH132,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1217894400000,{AE1C86CE-9E3B-54A0-AB76-03C7427F3675},-71.004336050999939,42.392736959000047
7,16KH174,STREET_FEA 477,4 OPP (STREET_FEA 477),IS,,1611740054,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1358; METERED_FL=U; PLACEMENT=MIGRATED,16KH174,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1224806400000,{9C6D7440-60D7-564A-AFA6-50FFEFC2A2AD},-71.056203362999952,42.315275173000032
8,22EH156,STREET_FEA 1090,1505 (STREET_FEA 1090),IS,,2205740203,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1653; METERED_FL=U; PLACEMENT=MIGRATED,22EH156,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{E6BD8200-EAB0-541C-B5B3-6CDD66A2B818},-71.141219604999947,42.346993480000037
9,22MH128,STREET_FEA 2069,STREET_FEA 2069,IS,,2213740171,,,GPS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=6428; METERED_FL=U; PLACEMENT=MIGRATED,22MH128,,,KE,KEK81-A,,,,,1,,1177632000000,blundonr,1259884800000,{1312000B-1553-5182-A148-082A75F9B556},-71.038222146999942,42.345794860000069
10,14KH46,STREET_FEA 3958,41 (STREET_FEA 3958),IS,959817600000,1411740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3102; METERED_FL=U; PLACEMENT=MIGRATED,14KH46,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1224720000000,{AF479656-BD6F-5039-9B35-7BD697459C1F},-71.066521762999969,42.304302827000072
11,22CH68,STREET_FEA 2430,201 OPP (STREET_FEA 2430),IS,,2203740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4203; METERED_FL=U; PLACEMENT=MIGRATED,22CH68,,,WA,WAWB67P,1988,,,,1,,1177632000000,blundonr,1255478400000,{2293D93C-EB64-5877-BD34-3E6FCE2D7F10},-71.161781729999973,42.346974857000077
12,23CH102,STREET_FEA 526,208 (STREET_FEA 526),IS,,2303740007,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=700; METERED_FL=U; PLACEMENT=MIGRATED,23CH102,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{06F3BCF9-E069-5F9A-A329-786491990DE1},-71.163261898999963,42.355122365000057
13,12DH54,STREET_FEA 4430,530 OPP (STREET_FEA 4430),IS,662688000000,1204740044,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1905; METERED_FL=U; PLACEMENT=MIGRATED,12DH54,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{FD899635-799A-51A5-B24B-4BDBDEED65CD},-71.153845776999958,42.293221172000074
14,13KH110,STREET_FEA 1815,37 (STREET_FEA 1815),IS,993081600000,1311740091,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=545; METERED_FL=U; PLACEMENT=MIGRATED,13KH110,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1224633600000,{A85ECE55-EC4A-525A-AF6C-ED1BDE3F6D41},-71.059084919999975,42.297649762000049
15,25DH4,STREET_FEA 4412,14 OPP (STREET_FEA 4412),IS,988070400000,2504740012,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2639; METERED_FL=U; PLACEMENT=MIGRATED,25DH4,,,MU,MUCENT,2006,,,,1,,1177632000000,blundonr,1255478400000,{21D81FE2-9383-5EDB-A081-09A884DFF3CD},-71.145146558999954,42.360793568000076
16,23EH76,STREET_FEA 2588,25 (STREET_FEA 2588),IS,1305244800000,2305740181,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3388; METERED_FL=U; PLACEMENT=MIGRATED,23EH76,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1332720000000,{2FECA8C3-3951-5D90-AF06-0D93E90E9A6F},-71.135670585999947,42.349764929000060
17,29JH104,STREET_FEA 904,40 (STREET_FEA 904),IS,,2910740125,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2795; METERED_FL=U; PLACEMENT=MIGRATED,29JH104,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1221004800000,{E122B25D-0DFD-554C-9B99-ED33BDFEFE47},-71.068803360999937,42.382979380000052
18,22HH184,STREET_FEA 620,1375 BACK (STREET_FEA 620),IS,1137715200000,2208740333,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2394; METERED_FL=U; PLACEMENT=mulline,22HH184,,,MU,MUCENT,2006,,,,1,,1219881600000,blundonr,1264377600000,{CD944DBF-31F8-5CDF-9CBE-AAECF0DBB45E},-71.101027319999957,42.344726989000037
