objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
19,9JH16,Woodbole Ave,14-16 Woodbole Ave,IS,,910740024,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3983; METERED_FL=U; PLACEMENT=MIGRATED,9JH16,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1236038400000,{4DA6C7FE-BE54-5AF4-9C37-274598BB2B85},-71.079741494999951,42.277454350000028,14-16 (STREET_FEA 4605),STREET_FEA 4605,35,derived_0_50_ft,boston-sam,342382,14-16 Woodbole Ave,Woodbole Ave,42.27735943,-71.07972830,Standard Street & Woodbole Avenue,67,nearest_address
72,9JH27,Morton St,1061 Morton St,IS,1103328000000,910740027,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3313; METERED_FL=U; PLACEMENT=MIGRATED,9JH27,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1235779200000,{0DD07320-6237-5FC7-B840-60AF9D292EAA},-71.077719119999983,42.277318616000059,1061 (STREET_FEA 2931),STREET_FEA 2931,40,derived_0_50_ft,boston-sam,97636,1061 Morton St,Morton St,42.27720866,-71.07772059,Morton Street & Pine Ridge Road,40,nearest_address
107,9JH104,Pleasant Hill Ave,66-68 Pleasant Hill Ave,IS,1152576000000,910740065,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3331; METERED_FL=U; PLACEMENT=MIGRATED,9JH104,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1235779200000,{AEC33546-2B89-5C49-AD23-D6E3AC3626DC},-71.071992441999953,42.276071717000036,66-68 (STREET_FEA 3330),STREET_FEA 3330,41,derived_0_50_ft,boston-sam,111307,66-68 Pleasant Hill Ave,Pleasant Hill Ave,42.27605866,-71.07184059,Pleasant Hill Avenue & Pleasant Hill Terrace,78,nearest_address
108,9JH136,Richmond St,19 Richmond St,IS,,910740146,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=365; METERED_FL=U; PLACEMENT=MIGRATED,9JH136,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1231891200000,{73046FAF-0969-52A5-8D4D-68E628363E7B},-71.068683123999961,42.273806248000028,27 OPP (STREET_FEA 3577),STREET_FEA 3577,79,derived_50_100_ft,boston-sam,115809,19 Richmond St,Richmond St,42.27362866,-71.06885059,Avondale Street & Richmond Street,132,nearest_address
152,8IH6,River St,466-476 River St,IS,,809740081,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1817; METERED_FL=U; PLACEMENT=MIGRATED,8IH6,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1231891200000,{98FF14DE-5859-5543-A523-3F41F6DD7DE9},-71.092493737999973,42.268611245000045,STREET_FEA 3604,STREET_FEA 3604,130,derived_100_150_ft,boston-sam,422899,466-476 River St,River St,42.26828814,-71.09229193,Blue Hill Avenue & Fairway Street,318,nearest_address
155,9JH128,Saint Gregory St,69 Saint Gregory St,IS,1152576000000,910740069,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3192; METERED_FL=U; PLACEMENT=MIGRATED,9JH128,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1230076800000,{1CAB0ABB-3F25-516F-8080-573A8EEF732B},-71.070393609999940,42.275915475000033,69 (STREET_FEA 3754),STREET_FEA 3754,47,derived_0_50_ft,boston-sam,121139,69 Saint Gregory St,Saint Gregory St,42.27598866,-71.07025059,Packard Avenue & Saint Gregory Street,67,nearest_address
184,9JH50,Cedar St,62 Cedar St,IS,,910740140,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2667; METERED_FL=U; PLACEMENT=MIGRATED,9JH50,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1236038400000,{9AF6107F-66E3-51B5-B3BE-5C1F1F53B4DD},-71.075862529999938,42.273895892000041,62 (STREET_FEA 857),STREET_FEA 857,46,derived_0_50_ft,boston-sam,26880,62 Cedar St,Cedar St,42.27394866,-71.07601759,Cedar Street & Manchester Street,81,nearest_address
196,9JH24,Groveland St,49 Groveland St,IS,,910740159,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2818; METERED_FL=U; PLACEMENT=MIGRATED,9JH24,,,MU,MUCENT,1991,,,,1,,1177632000000,palaciolv,1236038400000,{FB19F0AC-ADD5-552F-92EC-ABB015A65788},-71.077409216999968,42.273429432000057,49 (STREET_FEA 1950),STREET_FEA 1950,43,derived_0_50_ft,boston-sam,67616,49 Groveland St,Groveland St,42.27342866,-71.07725059,Groveland Street & Menton Street,114,nearest_address
199,9JH66,Morton St,1110 Morton St,IS,1029456000000,910740041,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2931; METERED_FL=U; PLACEMENT=MIGRATED,9JH66,,,DA,ADB-84-B,1980,,,,1,,1177632000000,palaciolv,1236038400000,{DEE9044D-94B0-5F7D-8746-36C527BC89DD},-71.075254423999979,42.276791053000068,32 OPP (STREET_FEA 1384),STREET_FEA 1384,50,derived_0_50_ft,boston-sam,97652,1110 Morton St,Morton St,42.27666866,-71.07534059,Druid Street & Morton Street,187,nearest_address
208,9JH68,Clearwater Dr,19 Clearwater Dr,IS,,910740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2931; METERED_FL=U; PLACEMENT=MIGRATED,9JH68,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1236038400000,{1261ECC4-93CC-52AA-B3F1-7A5271F08EB2},-71.075487798999973,42.275558293000074,19 (STREET_FEA 1023),STREET_FEA 1023,35,derived_0_50_ft,boston-sam,33714,19 Clearwater Dr,Clearwater Dr,42.27552866,-71.07561059,Clearwater Drive & Morton Street,295,nearest_address
217,9IH137,River St,225 River St,IS,,909740145,,,GPS,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=3604; METERED_FL=U; PLACEMENT=mulline,9IH137,,,MU,MUCENT,2003,,,,1,,1247616000000,blundonr,1264377600000,{125DB252-9BEB-5E74-952D-AA96BFF8A01C},-71.082946208999942,42.273823278000066,249 BACK (STREET_FEA 2733),STREET_FEA 2733,140,derived_100_150_ft,boston-sam,351845,225 River St,River St,42.27419972,-71.08284490,Donwood Terrace & Ridgeview Avenue,412,nearest_address
