objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
1,26KH72,STREET_FEA 1082,STREET_FEA 1082,IS,,2611740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2291; METERED_FL=U; PLACEMENT=MIGRATED,26KH72,,,US,USMET250,1988,,,,1,,1177632000000,dorleansr,1231891200000,{C2ED89BD-AEFF-5164-9526-C9BAE2F2DEC8},-71.054908647999980,42.367904529000043
56,25LH761,STREET_FEA 4254,STREET_FEA 4254,IS,,2512740163,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=blundonr,25LH761,,,U,U,,,,,1,,1239926400000,blundonr,1244419200000,{D675A80D-CA82-53EA-B316-7267BF90ABB4},-71.050193148999938,42.365266506000069
291,25KH177,STREET_FEA 1122,16 (STREET_FEA 1122),IS,,2511740111,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=419; METERED_FL=U; PLACEMENT=MIGRATED,25KH177,,,DA,ADB-62-B,1967,,,,1,,1177632000000,dorleansr,1231891200000,{045CC3CE-333E-54F8-96DF-71E723A2507E},-71.056152397999938,42.364397231000055
322,26LH18,STREET_FEA 6440,379-395 (STREET_FEA 6440),IS,,2612740070,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,26LH18,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1255478400000,{5E989E40-E9F4-519E-9860-CC20FE6EDCF6},-71.050665801999969,42.366541872000028
348,25LH44,STREET_FEA 341,30-32 OPP (STREET_FEA 341),IS,,2512740062,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,25LH44,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{456A200C-B82D-5A2C-AB5B-278374CAF210},-71.051185845999953,42.363438692000045
488,26LH14,STREET_FEA 1922,19 OPP (STREET_FEA 1922),IS,,2612740061,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,26LH14,,,US,USSEN,1980,,,,1,,1177632000000,dorleansr,1231891200000,{EB94379E-0D2F-5A70-A80C-16C367F585B2},-71.053289941999935,42.366927596000039
497,25LH40,STREET_FEA 3089,16 (STREET_FEA 3089),IS,,2512740057,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4066; METERED_FL=U; PLACEMENT=MIGRATED,25LH40,,,US,USMET250,1999,,,,1,,1177632000000,blundonr,1244505600000,{68191FBF-7913-5BA5-8030-A7A84FFC8C5B},-71.053447104999975,42.363671920000058
537,25KH182,STREET_FEA 4517,17 (STREET_FEA 4517),IS,,2511740136,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=39; METERED_FL=U; PLACEMENT=MIGRATED,25KH182,,,KE,KEK81-A,2005,,,,1,,1177632000000,blundonr,1244505600000,{ED35C73E-A582-5340-B13D-6B2411971EDB},-71.056375597999988,42.364100038000061
1037,25LH64,STREET_FEA 1082,334-350 (STREET_FEA 1082),IS,,2512740006,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4254; METERED_FL=U; PLACEMENT=MIGRATED,25LH64,,,US,USMET250,1988,,,,1,,1177632000000,dorleansr,1231891200000,{B4C89558-C1AC-58ED-BD80-DED81B9EDDCD},-71.051206669999942,42.365499738000040
1214,26KH62,STREET_FEA 2227,53 OPP (STREET_FEA 2227),IS,,2611740069,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3922; METERED_FL=U; PLACEMENT=MIGRATED,26KH62,,,KE,KEK81-A,2008,,,,1,,1177632000000,dorleansr,1231891200000,{F9EB5A24-1A7A-507F-A738-7FD90B198AAE},-71.056793965999987,42.367177372000072
1482,26LH1,STREET_FEA 1082,371 OPP (STREET_FEA 1082),IS,,2612740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3781; METERED_FL=U; PLACEMENT=MIGRATED,26LH1,,,MH,MH929,1988,,,,1,,1177632000000,dorleansr,1231891200000,{38EEEBC4-2700-525D-B07D-06D889BF01D6},-71.051464555999985,42.366213474000062
