objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
64,11GH110,Paine St,59 Paine St,IS,,1107740093,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1220; METERED_FL=U; PLACEMENT=MIGRATED,11GH110,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{DD8D1F93-0CA9-5F46-B1BD-8BBB664E0F4F},-71.107744263999962,42.285328759000038,59 (STREET_FEA 3194),STREET_FEA 3194,68,derived_50_100_ft,boston-sam,106370,59 Paine St,Paine St,42.28551366,-71.10771460,Curley Street & Paine Street,293,nearest_address
113,10EH190,Birch St,141 Birch St,IS,,1005740023,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2087; METERED_FL=U; PLACEMENT=MIGRATED,10EH190,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1271808000000,{2813DBA0-E7B0-5C7C-B727-FA348FDF6D52},-71.134143877999975,42.283397829000080,137 (STREET_FEA 535),STREET_FEA 535,36,derived_0_50_ft,boston-sam,15580,141 Birch St,Birch St,42.28348866,-71.13420061,Birch Street & Hayes Road,118,nearest_address
136,9EH90,Beech St,425 Beech St,IS,,905740050,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2410; METERED_FL=U; PLACEMENT=MIGRATED,9EH90,,,KE,KEK81-A,1995,,,,1,,1177632000000,chalmersh,1240876800000,{150B9CB0-566C-5DE7-98A9-DD1DC265F02B},-71.135321564999970,42.277170684000055,425 (STREET_FEA 465),STREET_FEA 465,37,derived_0_50_ft,boston-sam,13218,425 Beech St,Beech St,42.27708866,-71.13540061,Beech Street & Beram Avenue,150,nearest_address
146,10EH104,Cornell St,336 Cornell St,IS,,1005740064,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=519; METERED_FL=U; PLACEMENT=MIGRATED,10EH104,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1236124800000,{4CC44F62-1445-5845-AB89-1B5C26851543},-71.139853963999940,42.282328062000033,336 (STREET_FEA 1144),STREET_FEA 1144,42,derived_0_50_ft,boston-sam,43024,336 Cornell St,Cornell St,42.28221866,-71.13990061,Beryl Street & Cornell Street,173,nearest_address
153,10GH60,Mount Hope St,80 Mount Hope St,IS,,1007740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4771; METERED_FL=U; PLACEMENT=MIGRATED,10GH60,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1236211200000,{C13D41F8-2B34-5794-A3A9-5769D443D5E4},-71.115762196999981,42.283001045000049,80 (STREET_FEA 2950),STREET_FEA 2950,52,derived_50_100_ft,boston-sam,98296,80 Mount Hope St,Mount Hope St,42.28314366,-71.11576160,Brook Street & Mount Hope Street,79,nearest_address
241,11FH36,Cummins Hwy,44 Cummins Hwy,IS,,1106740059,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2555; METERED_FL=U; PLACEMENT=MIGRATED,11FH36,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{89D1B24A-6E20-5F88-9D9D-67AA6010B731},-71.126526525999964,42.285520897000026,44 (STREET_FEA 1213),STREET_FEA 1213,32,derived_0_50_ft,boston-sam,44879,44 Cummins Hwy,Cummins Hwy,42.28555866,-71.12642061,Cummins Highway & Lindall Street,35,nearest_address
267,11GH16,Holly Rd,18 Holly Rd,IS,,1107740112,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2316; METERED_FL=U; PLACEMENT=MIGRATED,11GH16,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{A24FEFF0-D8AE-5854-AC02-082755D6CDA8},-71.116900698999984,42.284614612000041,18 (STREET_FEA 2185),STREET_FEA 2185,43,derived_0_50_ft,boston-sam,74726,18 Holly Rd,Holly Rd,42.28469866,-71.11679061,Holly Road & Jewett Street,236,nearest_address
279,11FH72,Prospect Ave,23 Prospect Ave,IS,,1106740077,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2336; METERED_FL=U; PLACEMENT=MIGRATED,11FH72,,,MU,MUCENT,1991,,,,1,,1177632000000,denapolipd,1250035200000,{F2AC1BEA-B56E-51E8-8447-7C76EDFB341D},-71.121976906999976,42.284453770000027,23 (STREET_FEA 3426),STREET_FEA 3426,53,derived_50_100_ft,boston-sam,113406,23 Prospect Ave,Prospect Ave,42.28459866,-71.12197061,Johnswood Road & Prospect Avenue,26,nearest_address
290,10EH64,Walworth St,191 Walworth St,IS,,1005740193,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4397; METERED_FL=U; PLACEMENT=MIGRATED,10EH64,,,MU,MUCENT,2005,,,,1,,1177632000000,palaciolv,1236124800000,{A9946805-FE9E-510F-8F49-894427444A16},-71.136981898999977,42.279042178000054,187-189 OP (STREET_FEA 4369),STREET_FEA 4369,76,derived_50_100_ft,boston-sam,170924,191 Walworth St,Walworth St,42.27896730,-71.13724711,Cedrus Avenue & Eugenia Road,206,nearest_address
330,11GH112,Paine St,29 Paine St,IS,,1107740080,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4350; METERED_FL=U; PLACEMENT=MIGRATED,11GH112,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{38E828E0-F570-51CA-B830-2B99514B9A85},-71.106525634999969,42.285902667000073,27 OPP (STREET_FEA 3194),STREET_FEA 3194,43,derived_0_50_ft,boston-sam,437469,29 Paine St,Paine St,42.28596740,-71.10665940,Paine Street & Walk Hill Street,424,nearest_address
350,10GH32,Canterbury St,898 Canterbury St,IS,473385600000,1007740068,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2499; METERED_FL=U; PLACEMENT=MIGRATED,10GH32,,,WA,WAWB67P,1987,,,,1,,1177632000000,chalmersh,1240272000000,{B148C9D0-E7FD-55B0-AB62-AF6DF296562F},-71.115487751999979,42.279625058000079,898 (STREET_FEA 804),STREET_FEA 804,45,derived_0_50_ft,boston-sam,25532,898 Canterbury St,Canterbury St,42.27956866,-71.11534060,Canterbury Street & Legion Place,59,nearest_address
