objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
26,17IH158,Edgewood St,30 Edgewood St,IS,,1709740150,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3951; METERED_FL=U; PLACEMENT=MIGRATED,17IH158,,,KE,KEK81-A,2010,,,,1,,1177632000000,pullenn,1273104000000,{AB850D60-E56E-5EB6-B2A8-39267D1A13F2},-71.080464440999947,42.318587353000055,30 (STREET_FEA 1451),STREET_FEA 1451,45,derived_0_50_ft,boston-sam,51229,30 Edgewood St,Edgewood St,42.31869866,-71.08039060,Edgewood Street & Southwood Street,278,nearest_address
55,15IH56,Blue Hill Ave,515 Blue Hill Ave,IS,1115942400000,1509740123,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3825; METERED_FL=U; PLACEMENT=MIGRATED,15IH56,,,MU,MUCENT,2002,,,,1,,1177632000000,chalmersh,1233532800000,{8B3AF258-F52D-5C17-B051-088B7F4025B9},-71.084106108999947,42.307477306000067,515 (STREET_FEA 568),STREET_FEA 568,51,derived_50_100_ft,boston-sam,16495,515 Blue Hill Ave,Blue Hill Ave,42.30754866,-71.08427060,Blue Hill Avenue & Schuyler Street,73,nearest_address
60,18HH158,Highland St,164 Highland St,IS,,1808740114,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=467; METERED_FL=U; PLACEMENT=MIGRATED,18HH158,,,US,USMET250,1987,,,,1,,1177632000000,palaciolv,1231718400000,{997C5E10-8451-596A-AE7E-F87D450AC7A3},-71.093203117999963,42.324326761000066,165 OPP (STREET_FEA 2143),STREET_FEA 2143,55,derived_50_100_ft,boston-sam,172437,164 Highland St,Highland St,42.32443418,-71.09305959,Beech Glen Street & Highland Street,83,nearest_address
71,17HH148,Washington St,2895-2933 Washington St,IS,,1708740058,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1342; METERED_FL=U; PLACEMENT=MIGRATED,17HH148,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{1A71257E-4E5F-50D1-B775-B32B620177A0},-71.094779513999981,42.319450309000047,STREET_FEA 4398,STREET_FEA 4398,72,derived_50_100_ft,boston-sam,353985,2895-2933 Washington St,Washington St,42.31939088,-71.09503424,Dimock Street & Washington Street,268,nearest_address
74,16IH156,Holborn St,25 Holborn St,IS,,1609740064,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2769; METERED_FL=U; PLACEMENT=MIGRATED,16IH156,,,MU,MUCENT,1991,,,,1,,1177632000000,chalmersh,1240531200000,{4BAFDFBC-79FC-5DC6-B9A9-72E239164FFD},-71.081277474999979,42.314686182000059,25 (STREET_FEA 2174),STREET_FEA 2174,34,derived_0_50_ft,boston-sam,74468,25 Holborn St,Holborn St,42.31460866,-71.08135060,Holborn Park & Holborn Street,35,nearest_address
90,20IH158,Camden St,100 Camden St,IS,,2009740027,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5763; METERED_FL=U; PLACEMENT=MIGRATED,20IH158,,,DA,ADB-84-B,1990,,,,1,,1177632000000,connorsm,1225152000000,{00E07DBB-90BA-5141-9266-1196EB6A8D8D},-71.081218102999969,42.337807363000024,108 (STREET_FEA 795),STREET_FEA 795,27,derived_0_50_ft,boston-sam,421387,100 Camden St,Camden St,42.33777867,-71.08131060,Camden Street & Minnie B. Clark Way,65,nearest_address
98,20JH46,Harrison Ave,869-871 Harrison Ave,IS,,2010740270,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3095; METERED_FL=U; PLACEMENT=MIGRATED,20JH46,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1244505600000,{D460EFDF-6E71-5D78-96D9-2C8A99FBCF1D},-71.075894206999976,42.334252377000041,871 OPP (STREET_FEA 2032),STREET_FEA 2032,86,derived_50_100_ft,boston-sam,70071,869-871 Harrison Ave,Harrison Ave,42.33443867,-71.07609259,Harrison Avenue & Northampton Street,80,nearest_address
102,20IH40,Raynor Cir,11-21 Raynor Cir,IS,,2009740196,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3751; METERED_FL=U; PLACEMENT=MIGRATED,20IH40,,,KE,KEK81-A,2008,,,,1,,1177632000000,mulline,1231891200000,{3E7EF4F3-A460-50D1-83E1-F69DD8153B7C},-71.086320260999969,42.334217710000075,8 OPP (STREET_FEA 692),STREET_FEA 692,48,derived_0_50_ft,boston-sam,419388,11-21 Raynor Cir,Raynor Cir,42.33425959,-71.08648856,Brook Marshall Road & Raynor Circle,57,nearest_address
131,15IH148,Blue Hill Ave,447-451 Blue Hill Ave,IS,1181606400000,1509740050,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1808; METERED_FL=U; PLACEMENT=MIGRATED,15IH148,,,MU,MUCENT,2003,,,,1,,1177632000000,chalmersh,1250812800000,{7C4922EB-83A8-563C-9A16-2E6E0E78E73B},-71.082695514999955,42.309775653000031,648 (STREET_FEA 4385),STREET_FEA 4385,80,derived_50_100_ft,boston-sam,16470,447-451 Blue Hill Ave,Blue Hill Ave,42.30997305,-71.08256683,Blue Hill Avenue & Warren Street,88,nearest_address
165,16HH176,Wardman Rd,7-9 Wardman Rd,IS,865123200000,1608740041,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4475; METERED_FL=U; PLACEMENT=MIGRATED,16HH176,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{D4EA80F2-02F2-58DD-A4BE-6D4CA50C4D5A},-71.094772118999970,42.315440939000041,7 (STREET_FEA 4373),STREET_FEA 4373,49,derived_0_50_ft,boston-sam,142734,7-9 Wardman Rd,Wardman Rd,42.31555866,-71.09486060,Wardman Road & Westminster Avenue,130,nearest_address
168,16IH8,Homestead St,124-126 Homestead St,IS,,1609740182,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2229; METERED_FL=U; PLACEMENT=MIGRATED,16IH8,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{C10C13FB-CE1D-50F8-8ACC-6481CF16A607},-71.089004257999989,42.311280224000029,124-126 (STREET_FEA 2194),STREET_FEA 2194,59,derived_50_100_ft,boston-sam,75091,124-126 Homestead St,Homestead St,42.31140866,-71.08887060,Homestead Street & Pleasanton Street,419,nearest_address
