objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
9,22MH128,Summer St,660 Summer St,IS,,2213740171,,,GPS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=6428; METERED_FL=U; PLACEMENT=MIGRATED,22MH128,,,KE,KEK81-A,,,,,1,,1177632000000,blundonr,1259884800000,{1312000B-1553-5182-A148-082A75F9B556},-71.038222146999942,42.345794860000069,STREET_FEA 2069,STREET_FEA 2069,123,derived_100_150_ft,boston-sam,132045,660 Summer St,Summer St,42.34552867,-71.03794058,Massachusetts Turnpike & Ted Williams Tunnel,340,nearest_address
174,22MH100,Summer St,636 Summer St,IS,,2213740120,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1388; METERED_FL=U; PLACEMENT=MIGRATED,22MH100,,,MH,MH929,1992,,,,1,,1177632000000,chalmersh,1221004800000,{1FCABE7E-B251-53A3-A4AD-1F4FCC96D9B1},-71.039081530999965,42.344498324000028,STREET_FEA 2422,STREET_FEA 2422,97,derived_50_100_ft,boston-sam,349862,636 Summer St,Summer St,42.34473227,-71.03925231,Drydock Avenue & Summer Street,92,nearest_address
186,22LH124,Summer St,332-340 Summer St,IS,,2212740202,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1104; METERED_FL=U; PLACEMENT=MIGRATED,22LH124,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{2BB62FC6-5698-59D1-BA07-1CBA9DBFC24D},-71.047744470999987,42.348885447000043,STREET_FEA 6425,STREET_FEA 6425,130,derived_100_150_ft,boston-sam,132009,332-340 Summer St,Summer St,42.34923794,-71.04766081,West Service Road & West Service Road Extension,69,nearest_address
192,22MH91,Channel Street,Near Channel Street & Northern Avenue,IS,,2213740036,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2069; METERED_FL=U; PLACEMENT=MIGRATED,22MH91,,,MU,MUCENT,1996,,,,1,,1177632000000,connorsm,1364428800000,{6D4D1EEF-F6FA-578E-AD4B-95056516DCA9},-71.035904961999961,42.347179960000062,STREET_FEA 3099,STREET_FEA 3099,278,intersection_preferred_150_plus_ft,boston-sam,103896,295 Northern Ave,Northern Ave,42.34763900,-71.03673252,Channel Street & Northern Avenue,122,nearest_intersection
195,21LH479,W Second St,100 W Second St,IS,1064361600000,2112740167,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=112; METERED_FL=U; PLACEMENT=mulline,21LH479,,,MH,MH129,2001,,,,1,,1210204800000,blundonr,1255478400000,{0B10BD80-0B29-543B-B393-8AE046D9B172},-71.053668367999933,42.342763205000040,100 (STREET_FEA 101),STREET_FEA 101,55,derived_50_100_ft,boston-sam,124566,100 W Second St,W Second St,42.34291221,-71.05364537,Bolton Street & West Second Street,94,nearest_address
198,22LH171,A St,315 A St,IS,975024000000,2212740249,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=111; METERED_FL=U; PLACEMENT=dorleansr,22LH171,,,U,U,,,,,1,,1272585600000,connorsm,1273449600000,{3AA9CDEA-0C04-572F-A4D6-ADF63A96BD75},-71.048650781999982,42.348869938000064,319R (STREET_FEA 3414),STREET_FEA 3414,89,derived_50_100_ft,boston-sam,344360,315 A St,A St,42.34868516,-71.04843527,Pastene Alley & West Service Road,223,nearest_address
280,23LH28,Congress St,338 Congress St,IS,1193184000000,2312740136,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1612; METERED_FL=U; PLACEMENT=MIGRATED,23LH28,,,KE,KEK81-A,2007,,,,1,,1177632000000,chings,1457481600000,{ECAE5F65-1848-5013-9D13-7909F6020A7A},-71.049236009999959,42.350976715000058,332-334 (STREET_FEA 1104),STREET_FEA 1104,52,derived_50_100_ft,boston-sam,348724,338 Congress St,Congress St,42.35093297,-71.04905035,Congress Street & Farnsworth Street,113,nearest_address
305,22MH123,Summer St,500 Summer St,IS,,2213740166,,,GPS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=1608; METERED_FL=U; PLACEMENT=MIGRATED,22MH123,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1358812800000,{9AAB8800-0A14-5D76-9D64-1DE8561FF38E},-71.040131941999960,42.345255781000049,STREET_FEA 4051,STREET_FEA 4051,52,derived_50_100_ft,boston-sam,435404,500 Summer St,Summer St,42.34521369,-71.03994630,Pumphouse Road & Summer Street,61,nearest_address
321,22LH152,Summer Street,Near Summer Street & World Trade Center Avenue,IS,1042502400000,2212740230,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,22LH152,,,U,U,,,,,1,,1177632000000,obrienm,1457481600000,{1F3D46D0-E913-58B0-9EF6-6F085CD208CA},-71.043949048999934,42.347850069000060,STREET_FEA 2069,STREET_FEA 2069,268,intersection_preferred_150_plus_ft,boston-sam,437958,412-430 Summer St,Summer St,42.34828596,-71.04475405,Summer Street & World Trade Center Avenue,253,nearest_intersection
323,23LH30,Congress St,308-316 Congress St,IS,,2312740114,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3916; METERED_FL=U; PLACEMENT=MIGRATED,23LH30,,,MU,MUCENT,2006,,,,1,,1177632000000,chings,1457481600000,{2BEF4C4E-CA74-5AF4-8504-6CCF1AFB9524},-71.049882183999955,42.351370650000035,316 (STREET_FEA 1104),STREET_FEA 1104,58,derived_50_100_ft,boston-sam,42095,308-316 Congress St,Congress St,42.35152837,-71.04985631,Congress Street & Sleeper Street,45,nearest_address
333,22MH156,Haul Road,Near Haul Road & Pumphouse Road,IS,,2213740199,,,GPS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=6428; METERED_FL=U; PLACEMENT=denapolipd,22MH156,,,KE,KEK81-A,2004,,,,1,,1247529600000,blundonr,1259884800000,{11E7CBE5-3B7D-5945-8591-1064A0DE3E0C},-71.038712619999956,42.345461115000035,STREET_FEA 2069,STREET_FEA 2069,209,intersection_preferred_150_plus_ft,boston-sam,132045,660 Summer St,Summer St,42.34552867,-71.03794058,Haul Road & Pumphouse Road,297,nearest_intersection
334,21LH492,Summer St,651 Summer St,IS,1312243200000,2112740180,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=15; METERED_FL=U; PLACEMENT=chalmersh,21LH492,,,KE,KEK81-A,,,,,1,,1400112000000,chalmersh,1400112000000,{77A3B93A-5346-5CCA-82D2-3E97ED8C68CB},-71.043361355999934,42.338656137000044,STREET_FEA 7910,STREET_FEA 7910,108,derived_100_150_ft,boston-sam,132040,651 Summer St,Summer St,42.33895267,-71.04336558,East First Street & Pappas Way,279,nearest_address
393,22MH84,Terminal St,15 Terminal St,IS,,2213740118,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3857; METERED_FL=U; PLACEMENT=MIGRATED,22MH84,,,KE,KEK81,1990,,,,1,,1177632000000,blundonr,1255478400000,{A1EF59C7-BABA-58BD-9BB7-B79CD0549873},-71.037938136999969,42.344531990000064,STREET_FEA 1388,STREET_FEA 1388,93,derived_50_100_ft,boston-sam,423684,15 Terminal St,Terminal St,42.34435976,-71.03768157,Drydock Avenue & Harbor Street,259,nearest_address
468,21MH59,Summer St,643 Summer St,IS,,2113740066,,,MANUAL,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=0; METERED_FL=U; PLACEMENT=BlundoNR,21MH59,,,KE,KEK11,1973,,,,1,,1298592000000,BlundoNR,1298592000000,{3F44CE08-08D7-5EEC-8EA8-9BEA82B596F1},-71.038950920999980,42.343001545000050,STREET_FEA 0,STREET_FEA 0,100,derived_50_100_ft,boston-sam,132033,643 Summer St,Summer St,42.34288667,-71.03928658,Drydock Avenue & Pappas Way,420,nearest_address
470,22MH126,South Boston Haul Rd,100 South Boston Haul Rd,IS,,2213740169,,,GIS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=6428; METERED_FL=U; PLACEMENT=MIGRATED,22MH126,,,US,USMET250,1994,,,,1,,1177632000000,blundonr,1259884800000,{0E61B542-E347-5C13-9964-5623583DAE01},-71.040051187999950,42.346189770000080,STREET_FEA 2069,STREET_FEA 2069,112,derived_100_150_ft,boston-sam,353667,100 South Boston Haul Rd,South Boston Haul Rd,42.34608729,-71.03965996,Haul Road & Pumphouse Road,155,nearest_address
519,22LH72,Fargo St,69 Fargo St,IS,1082332800000,2212740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1235; METERED_FL=U; PLACEMENT=MIGRATED,22LH72,,,MU,MUCENT,2000,,,,1,,1177632000000,palaciolv,1224806400000,{437380CE-7E39-5D66-BE7D-1C6FC3293A6E},-71.042287695999960,42.345197288000065,60 (STREET_FEA 1608),STREET_FEA 1608,122,derived_100_150_ft,boston-sam,435301,69 Fargo St,Fargo St,42.34497489,-71.04262697,D Street & Fargo Street,214,nearest_address
533,21LH72,W First St,105 W First St,IS,694224000000,2112740020,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=112; METERED_FL=U; PLACEMENT=MIGRATED,21LH72,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1255478400000,{3ECC156C-76F7-52A3-9FF4-6E107D1AB26A},-71.052717880999978,42.343076538000048,STREET_FEA 4652,STREET_FEA 4652,136,derived_100_150_ft,boston-sam,58438,105 W First St,W First St,42.34311397,-71.05321916,Medallion Avenue & West First Street,102,nearest_address
642,23LH688,Seaport Blvd,113-129 Seaport Blvd,IS,1133395200000,2312740256,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3834; METERED_FL=U; PLACEMENT=blundonr,23LH688,,,US,USMET250,2000,,,,1,,1222819200000,blundonr,1264377600000,{9F5D721A-C050-5EE5-A6E6-F168E5F7545C},-71.044266339999979,42.350729313000045,STREET_FEA 369,STREET_FEA 369,108,derived_100_150_ft,boston-sam,355705,113-129 Seaport Blvd,Seaport Blvd,42.35089336,-71.04459868,Pier Four Boulevard & Seaport Boulevard,127,nearest_address
677,22LH166,Summer St,440-460 Summer St,IS,,2212740244,,,GPS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=6425; METERED_FL=U; PLACEMENT=chalmersh,22LH166,,,MU,MUCENT,2003,,,,1,,1225670400000,obrienm,1457481600000,{EC92C5B7-4DF3-5FD7-8E5C-97810C74DAFC},-71.042862912999965,42.347392254000056,STREET_FEA 2069,STREET_FEA 2069,128,derived_100_150_ft,boston-sam,424270,440-460 Summer St,Summer St,42.34705510,-71.04273118,Summer Street & World Trade Center Avenue,253,nearest_address
696,22MH82,Fid Kennedy Avenue,Near Fid Kennedy Avenue & Shellfish Way,IS,,2213740163,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4176; METERED_FL=U; PLACEMENT=MIGRATED,22MH82,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1364428800000,{8201056A-2156-5AE1-8DFC-AFBE26022CD4},-71.031699729999957,42.347019358000068,STREET_FEA 1652,STREET_FEA 1652,209,intersection_preferred_150_plus_ft,boston-sam,459491,5 Fid Kennedy Ave,Fid Kennedy Ave,42.34709501,-71.03246873,Fid Kennedy Avenue & Shellfish Way,30,nearest_intersection
701,22LH88,Summer St,332-340 Summer St,IS,1226880000000,2212740009,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=6425; METERED_FL=U; PLACEMENT=MIGRATED,22LH88,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1456358400000,{50C41D21-9DE5-5543-8054-77B5CE9E0CC8},-71.047730650999938,42.349218548000067,332 (STREET_FEA 4051),STREET_FEA 4051,20,derived_0_50_ft,boston-sam,132009,332-340 Summer St,Summer St,42.34923794,-71.04766081,West Service Road & West Service Road Extension,77,nearest_address
