objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
31,21KH173,W Fifth St,31 W Fifth St,IS,691545600000,2111740266,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,21KH173,,,U,U,,,,,1,,1177632000000,blundonr,1247961600000,{C0CC3151-DF60-5A68-86A2-16CE9EE78E4F},-71.056145156999946,42.339636158000076,STREET_FEA 2069,STREET_FEA 2069,71,derived_50_100_ft,boston-sam,58303,31 W Fifth St,W Fifth St,42.33980867,-71.05627059,B Street & West Fifth Street,184,nearest_address
38,20KH135,Baxter St,65 Baxter St,IS,,2011740148,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1235; METERED_FL=U; PLACEMENT=MIGRATED,20KH135,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1220918400000,{F3CC102C-C78C-5947-976F-CC88653FC866},-71.053876559999935,42.335551868000039,65 (STREET_FEA 432),STREET_FEA 432,28,derived_0_50_ft,boston-sam,8862,65 Baxter St,Baxter St,42.33549867,-71.05395059,Baxter Street & D Street,169,nearest_address
44,20LH72,Bowen St,279 Bowen St,IS,,2012330036,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1361; METERED_FL=U; PLACEMENT=MIGRATED,20LH72,,,LO,U,,,,,1,,1177632000000,blundonr,1255478400000,{D4D4FC87-F4C7-51BE-97D1-5E272E4F6A1D},-71.048802463999948,42.334605429000078,279 (STREET_FEA 610),STREET_FEA 610,31,derived_0_50_ft,boston-sam,17865,279 Bowen St,Bowen St,42.33454867,-71.04889059,Bowen Street & Dorchester Street,175,nearest_address
45,18LH4,Monsignor Dennis F. O'Callaghan Way,11 Monsignor Dennis F. O'Callaghan Way,IS,1192060800000,1812740005,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3144; METERED_FL=U; PLACEMENT=MIGRATED,18LH4,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1241568000000,{9679897D-5F0A-5DD3-80F4-48EC5B691DA9},-71.053146790999961,42.324621352000065,11 (STREET_FEA 5391),STREET_FEA 5391,38,derived_0_50_ft,boston-sam,173835,11 Monsignor Dennis F. O'Callaghan Way,Monsignor Dennis F. O'Callaghan Way,42.32469284,-71.05304136,Monsignor Dennis F. O'Callaghan Way & Old Colony Avenue,221,nearest_address
47,18KH88,Monsignor Dennis F. O'Callaghan Way,91-99 Monsignor Dennis F. O'Callaghan Way,IS,1192492800000,1811740035,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2841; METERED_FL=U; PLACEMENT=MIGRATED,18KH88,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1241568000000,{B7C9018C-D95C-5A76-BD47-B0936051B3CC},-71.054565588999935,42.325848242000063,91 (STREET_FEA 5391),STREET_FEA 5391,60,derived_50_100_ft,boston-sam,342524,91-99 Monsignor Dennis F. O'Callaghan Way,Monsignor Dennis F. O'Callaghan Way,42.32600904,-71.05452230,Dr. Michael Gavin Way & Monsignor Dennis F. O'Callaghan Way,171,nearest_address
99,20LH152,Silver St,200 Silver St,IS,883612800000,2012740030,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1235; METERED_FL=U; PLACEMENT=MIGRATED,20LH152,,,KE,KEK81-A,1998,,,,1,,1177632000000,connorsm,1221177600000,{29C4B6ED-0556-5EFC-B76B-7DF97A1E50E0},-71.050506481999946,42.337973700000077,STREET_FEA 3909,STREET_FEA 3909,41,derived_0_50_ft,boston-sam,348562,200 Silver St,Silver St,42.33808437,-71.05053090,D Street & Silver Street,269,nearest_address
129,20LH232,W First St,377 W First St,IS,1318550400000,2012740004,,,AS BUILT,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=15; METERED_FL=U; PLACEMENT=MIGRATED,20LH232,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1400198400000,{44269E22-65C1-581B-BCC0-F8606C651F50},-71.044919795999988,42.338275710000062,378 OPP (STREET_FEA 83),STREET_FEA 83,56,derived_50_100_ft,boston-sam,58458,377 W First St,W First St,42.33812460,-71.04488690,Dresser Street & F Street,263,nearest_address
132,21KH189,Flaherty Way,75 Flaherty Way,IS,931910400000,2111740282,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2344; METERED_FL=U; PLACEMENT=MIGRATED,21KH189,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{4DFC9B2F-D042-565F-A4F0-FCA6BB36A763},-71.054631185999938,42.338983994000046,75 OPP (STREET_FEA 5016),STREET_FEA 5016,120,derived_100_150_ft,boston-sam,58598,75 Flaherty Way,Flaherty Way,42.33873967,-71.05493159,Flaherty Way & Saint Casimir Street,186,nearest_address
134,19KH38,Boston St,2-6 Boston St,IS,883612800000,1911740117,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1359; METERED_FL=U; PLACEMENT=MIGRATED,19KH38,,,US,USSEN,1984,,,,1,,1177632000000,blundonr,1255478400000,{E65A8F82-25F7-5C6E-B044-A2CD935A420F},-71.057268448999935,42.329002896000077,13 OPP (STREET_FEA 590),STREET_FEA 590,14,derived_0_50_ft,boston-sam,17130,2-6 Boston St,Boston St,42.32900903,-71.05721613,Dorchester Avenue & General William H. Devine Way,179,nearest_address
135,19KH4,Newmarket Square,Near Newmarket Square & Southampton Street,IS,1322438400000,1911740104,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4153; METERED_FL=U; PLACEMENT=MIGRATED,19KH4,,,KE,KEK81-A,2011,,,,1,,1177632000000,chalmersh,1458172800000,{AB84363B-C48C-52A3-8279-92057562B724},-71.065865144999975,42.329591203000064,34 OPP (STREET_FEA 3063),STREET_FEA 3063,183,intersection_preferred_150_plus_ft,boston-sam,172330,1 Newmarket Sq,Newmarket Sq,42.32955148,-71.06654140,Newmarket Square & Southampton Street,604,nearest_intersection
150,21LH469,Athens St,215-219 Athens St,IS,922924800000,2112740157,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=771; METERED_FL=U; PLACEMENT=MIGRATED,21LH469,,,KE,KEK81-A,1997,,,,1,,1177632000000,chalmersh,1221004800000,{88ED691C-2382-59DF-8A95-3EA389867B38},-71.051029630999949,42.339613513000074,219 (STREET_FEA 333),STREET_FEA 333,37,derived_0_50_ft,boston-sam,161686,215-219 Athens St,Athens St,42.33966147,-71.05114899,Athens Street & D Street,226,nearest_address
