objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
2,22KH40,Harrison Avenue,Near Harrison Avenue & Herald Street,IS,,2211740106,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2115; METERED_FL=U; PLACEMENT=MIGRATED,22KH40,,,WA,WAWB67P,1976,,,,1,,1177632000000,blundonr,1255478400000,{9137B1D0-8236-5D4E-8E2E-886C8AEE2F32},-71.063424541999950,42.346193025000048,1105 (STREET_FEA 2032),STREET_FEA 2032,189,intersection_preferred_150_plus_ft,boston-sam,445211,333 Harrison Ave,Harrison Ave,42.34575982,-71.06380844,Harrison Avenue & Herald Street,73,nearest_intersection
97,21JH196,Tremont St,590-590A Tremont St,IS,,2110740055,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4265; METERED_FL=U; PLACEMENT=MIGRATED,21JH196,,,MU,MUCENT,2005,,,,1,,1177632000000,mulline,1224720000000,{B627B282-FFD6-5457-9019-3DDC19DB7257},-71.072949824999966,42.343068905000052,590 (STREET_FEA 4217),STREET_FEA 4217,27,derived_0_50_ft,boston-sam,137712,590-590A Tremont St,Tremont St,42.34306867,-71.07285059,Tremont Street & Upton Street,62,nearest_address
103,21JH10,Worcester St,53 Worcester St,IS,,2110740290,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3062; METERED_FL=U; PLACEMENT=MIGRATED,21JH10,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{AA855537-8764-5882-AF90-80B2E6E50569},-71.077293772999951,42.338915266000072,55 (STREET_FEA 4636),STREET_FEA 4636,40,derived_0_50_ft,boston-sam,152480,53 Worcester St,Worcester St,42.33897867,-71.07717060,Newland Street & Worcester Street,151,nearest_address
140,21JH262,Shawmut Ave,312-312A Shawmut Ave,IS,249782400000,2110740334,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3868; METERED_FL=U; PLACEMENT=BlundoNR,21JH262,,,SM,SMH205,1976,,,,1,,1327449600000,BlundoNR,1327449600000,{111D29B0-B046-5EF7-81DC-9AE92924CFFE},-71.070457923999982,42.342090569000050,3 (STREET_FEA 4253),STREET_FEA 4253,48,derived_0_50_ft,boston-sam,169630,312-312A Shawmut Ave,Shawmut Ave,42.34211462,-71.07028331,Shawmut Avenue & Union Park,42,nearest_address
148,21JH52,East Newton Street,Near East Newton Street & Washington Street,IS,,2110740301,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4400; METERED_FL=U; PLACEMENT=MIGRATED,21JH52,,,WA,WAWB67P,1980,,,,1,,1177632000000,blundonr,1255478400000,{ADA25E28-4110-5119-8FA1-D041D691EF68},-71.073390267999969,42.338759755000069,STREET_FEA 21,STREET_FEA 21,160,intersection_preferred_150_plus_ft,boston-sam,102592,35-36 W Newton St,W Newton St,42.33895730,-71.07392240,East Newton Street & Washington Street,76,nearest_intersection
229,21JH182,Dartmouth St,23 Dartmouth St,IS,,2110740014,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1266; METERED_FL=U; PLACEMENT=MIGRATED,21JH182,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{E2A4BA39-A029-5E85-A573-9959F61D1662},-71.073726742999952,42.343722161000073,53 (STREET_FEA 2904),STREET_FEA 2904,60,derived_50_100_ft,boston-sam,46328,23 Dartmouth St,Dartmouth St,42.34372867,-71.07395059,Dartmouth Street & Montgomery Street,119,nearest_address
243,20JH138,Worcester Sq,2 Worcester Sq,IS,,2010740091,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4400; METERED_FL=U; PLACEMENT=MIGRATED,20JH138,,,MH,MH929,1979,,,,1,,1177632000000,chalmersh,1225152000000,{4DDB91B8-979C-525D-B964-DD6F7DD0ACFF},-71.075082363999968,42.337153312000055,2 (STREET_FEA 4635),STREET_FEA 4635,49,derived_0_50_ft,boston-sam,152216,2 Worcester Sq,Worcester Sq,42.33723367,-71.07493559,Washington Street & Worcester Square,188,nearest_address
258,21JH152,Washington St,1441 Washington St,IS,,2110740166,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4400; METERED_FL=U; PLACEMENT=MIGRATED,21JH152,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{EBCB175A-BF7E-5AAB-9277-E09535883A20},-71.071382060999952,42.340908478000074,STREET_FEA 79,STREET_FEA 79,45,derived_0_50_ft,boston-sam,438989,1441 Washington St,Washington St,42.34078591,-71.07134916,Pelham Street & Pelham Terrace,144,nearest_address
259,20JH246,Bio Square Drive,Near Bio Square Drive & East Concord Street,IS,,2010740368,,,GPS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=2746; METERED_FL=U; PLACEMENT=MIGRATED,20JH246,,,U,U,,,,,1,,1177632000000,blundonr,1247788800000,{6C76FDE9-743A-5A5D-B089-23FB6F940B2C},-71.070689981999976,42.334000694000053,750 REAR (STREET_FEA 160),STREET_FEA 160,271,intersection_preferred_150_plus_ft,boston-sam,1571,750 Albany St,Albany St,42.33406893,-71.07169286,Bio Square Drive & East Concord Street,113,nearest_intersection
295,21IH164,Wellington St,9 Wellington St,IS,157766400000,2109740169,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1077; METERED_FL=U; PLACEMENT=MIGRATED,21IH164,,,SM,SMH205,1977,,,,1,,1177632000000,chalmersh,1225238400000,{A92D1B6E-5827-511E-84E0-7FDC31D8C810},-71.081714591999969,42.341583361000062,11 (STREET_FEA 4437),STREET_FEA 4437,39,derived_0_50_ft,boston-sam,147464,9 Wellington St,Wellington St,42.34163867,-71.08159060,Columbus Avenue & Wellington Street,238,nearest_address
304,21JH74,Columbus Sq,8 Columbus Sq,IS,,2110740041,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1077; METERED_FL=U; PLACEMENT=MIGRATED,21JH74,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{3EDAFC7D-36AE-5061-A02C-B5F2647196C3},-71.077978369999983,42.343267447000073,8 (STREET_FEA 1078),STREET_FEA 1078,34,derived_0_50_ft,boston-sam,36092,8 Columbus Sq,Columbus Sq,42.34318867,-71.07791060,Columbus Avenue & Columbus Square,101,nearest_address
