objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
43,25JH52,Blossom St,33 Blossom St,IS,,2510740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3230; METERED_FL=U; PLACEMENT=MIGRATED,25JH52,,,MU,MUCENT,1968,,,,1,,1177632000000,dorleansr,1231891200000,{D3C4815F-74CB-5B92-843F-5CF891B84EC0},-71.066816925999944,42.362529279000057,33 (STREET_FEA 566),STREET_FEA 566,98,derived_50_100_ft,boston-sam,16064,33 Blossom St,Blossom St,42.36258867,-71.06646059,Blossom Street & Parkman Street,122,nearest_address
92,25KH3,Canal St,74-80 Canal St,IS,,2511740147,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5028; METERED_FL=U; PLACEMENT=MIGRATED,25KH3,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{0DD5323D-B7D5-5055-9F62-3E4DDC60BBC7},-71.059424525999987,42.364030586000069,74-80 OPP (STREET_FEA 801),STREET_FEA 801,100,derived_50_100_ft,boston-sam,25424,74-80 Canal St,Canal St,42.36385086,-71.05970615,Canal Street & Valenti Way,169,nearest_address
100,25KH842,Canal St,84-98 Canal St,IS,,2511740545,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=5028; METERED_FL=U; PLACEMENT=denapolipd,25KH842,,,KE,KEK81-A,2009,,,,1,,1304035200000,BlundoNR,1304294400000,{52EC2F4D-E8D0-5929-8005-E7C35A9A960C},-71.059745927999984,42.364288689000034,OPP 84-98 (STREET_FEA 801),STREET_FEA 801,105,derived_100_150_ft,boston-sam,343245,84-98 Canal St,Canal St,42.36403834,-71.05994104,Canal Street & Valenti Way,43,nearest_address
137,25KH58,New Chardon St,5-11 New Chardon St,IS,,2511740353,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=789; METERED_FL=U; PLACEMENT=MIGRATED,25KH58,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1244505600000,{89629E17-F6ED-55AD-9B43-94F046017F49},-71.062928839999984,42.361477883000077,115 (STREET_FEA 3033),STREET_FEA 3033,98,derived_50_100_ft,boston-sam,168018,5-11 New Chardon St,New Chardon St,42.36144784,-71.06256695,Cambridge Street & New Chardon Street,65,nearest_address
163,25KH32,William Cardinal O'Connell Way,68 William Cardinal O'Connell Way,IS,,2511740225,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4163; METERED_FL=U; PLACEMENT=MIGRATED,25KH32,,,KE,KEK11,1975,,,,1,,1177632000000,dorleansr,1231891200000,{06363876-3D5C-5153-A1B9-791546BFCC6F},-71.065198372999987,42.363199699000063,68 (STREET_FEA 4593),STREET_FEA 4593,49,derived_0_50_ft,boston-sam,151132,68 William Cardinal O'Connell Way,William Cardinal O'Connell Way,42.36311767,-71.06534159,Hawthorne Place & William Cardinal O'Connell Way,379,nearest_address
180,25JH32,Blossom St,175 Blossom St,IS,919641600000,2510740019,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=566; METERED_FL=U; PLACEMENT=MIGRATED,25JH32,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1230076800000,{3096BCBF-4691-5D3F-81B1-B2A08B5E7E70},-71.069394761999945,42.364791289000038,333 (STREET_FEA 909),STREET_FEA 909,97,derived_50_100_ft,boston-sam,362968,175 Blossom St,Blossom St,42.36455272,-71.06923472,Blossom Street & Charles Street,178,nearest_address
261,25KH819,William Cardinal O'Connell Way,70 William Cardinal O'Connell Way,IS,,2511740522,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2081; METERED_FL=U; PLACEMENT=denapolipd,25KH819,,,MU,MUCENT,1998,,,,1,,1247702400000,blundonr,1249430400000,{84DDE492-BB2D-5E75-B6A9-ADF537369D72},-71.066117948999988,42.363347791000081,70 (STREET_FEA 4593),STREET_FEA 4593,128,derived_100_150_ft,boston-sam,151133,70 William Cardinal O'Connell Way,William Cardinal O'Connell Way,42.36318867,-71.06569459,Hawthorne Place & William Cardinal O'Connell Way,126,nearest_address
394,26KH32,Causeway St,239-245 Causeway St,IS,1086048000000,2611740131,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2794; METERED_FL=U; PLACEMENT=MIGRATED,26KH32,,,MU,MUCENT,1992,,,,1,,1177632000000,chalmersh,1271721600000,{071A55E0-90D3-5CD2-9E7B-C6F91B9ABA5A},-71.059360374999983,42.366252899000074,239-245 (STREET_FEA 846),STREET_FEA 846,52,derived_50_100_ft,boston-sam,26609,239-245 Causeway St,Causeway St,42.36611867,-71.05943059,Causeway Street & Medford Street,54,nearest_address
465,25KH48,Lomasney Way,42 Lomasney Way,IS,928195200000,2511740020,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2727; METERED_FL=U; PLACEMENT=MIGRATED,25KH48,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1230076800000,{973DB14E-039E-5E29-A2B4-8B03D5833ADA},-71.064552594999952,42.365523055000040,42 (STREET_FEA 2585),STREET_FEA 2585,71,derived_50_100_ft,boston-sam,86956,42 Lomasney Way,Lomasney Way,42.36541867,-71.06433059,Lomasney Way & Martha Road,27,nearest_address
548,25JH4,Charles St,220 Charles St,IS,,2510740082,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=793; METERED_FL=U; PLACEMENT=MIGRATED,25JH4,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{DDAB54D9-8566-598A-A182-A257F76861C3},-71.070704949999936,42.361717773000066,221 (STREET_FEA 909),STREET_FEA 909,120,derived_100_150_ft,boston-sam,445193,220 Charles St,Charles St,42.36159102,-71.07111878,Cambridge Street & Charles Street,119,nearest_address
725,25KH721,Staniford St,64-74 Staniford St,IS,,2511740469,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4593; METERED_FL=U; PLACEMENT=MIGRATED,25KH721,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{1989E8CA-141D-5D17-8198-CB20BA238733},-71.063986847999956,42.362903115000051,80 (STREET_FEA 3988),STREET_FEA 3988,60,derived_50_100_ft,boston-sam,355286,64-74 Staniford St,Staniford St,42.36304332,-71.06410410,Longfellow Place & Staniford Street,188,nearest_address
