objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
3,11CH8,Varick Rd,5 Varick Rd,IS,,1103740177,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3785; METERED_FL=U; PLACEMENT=MIGRATED,11CH8,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{1B9867C5-647D-570E-BDD7-02FF69A0AEB5},-71.168326684999954,42.284418991000052,9-11 (STREET_FEA 4281),STREET_FEA 4281,49,derived_0_50_ft,boston-sam,139859,5 Varick Rd,Varick Rd,42.28454866,-71.16838062,Sanborn Avenue & Varick Road,104,nearest_address
13,12DH54,Weld St,515 Weld St,IS,662688000000,1204740044,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1905; METERED_FL=U; PLACEMENT=MIGRATED,12DH54,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{FD899635-799A-51A5-B24B-4BDBDEED65CD},-71.153845776999958,42.293221172000074,530 OPP (STREET_FEA 4430),STREET_FEA 4430,54,derived_50_100_ft,boston-sam,147174,515 Weld St,Weld St,42.29327866,-71.15403062,Greaton Road & Weld Street,81,nearest_address
25,12DH154,Carlson Cir,40 Carlson Cir,IS,,1204740015,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4430; METERED_FL=U; PLACEMENT=MIGRATED,12DH154,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{9A4C0B1C-95D7-5085-B653-A841AF15990A},-71.147964562999960,42.294440010000073,40 (STREET_FEA 815),STREET_FEA 815,58,derived_50_100_ft,boston-sam,25916,40 Carlson Cir,Carlson Cir,42.29445866,-71.14775062,Carlson Circle & Weld Street,252,nearest_address
34,13CH1,Sherman Rd,200-220 Sherman Rd,IS,,1303740004,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2262; METERED_FL=U; PLACEMENT=MIGRATED,13CH1,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{CE8234B5-B864-5D33-8FA3-8F53DA4EBE55},-71.160095040999977,42.300210041000071,200-214 (STREET_FEA 4802),STREET_FEA 4802,67,derived_50_100_ft,boston-sam,344838,200-220 Sherman Rd,Sherman Rd,42.30007011,-71.16025938,Gerry Road & Sherman Road,95,nearest_address
48,12CH120,Maple St,204 Maple St,IS,991180800000,1203740050,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=358; METERED_FL=U; PLACEMENT=MIGRATED,12CH120,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{A837B6F2-4547-5796-8E0E-F7A6F3D24970},-71.158707597999978,42.292834305000042,204 (STREET_FEA 2688),STREET_FEA 2688,47,derived_0_50_ft,boston-sam,89322,204 Maple St,Maple St,42.29283866,-71.15888062,Avalon Road & Weld Street,364,nearest_address
49,10DH66,Woodard Rd,77 Woodard Rd,IS,1242950400000,1004740157,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4130; METERED_FL=U; PLACEMENT=MIGRATED,10DH66,,,KE,KEK81-A,2009,,,,1,,1177632000000,hoffmanr,1456963200000,{A60DFA1A-1016-5C7F-8BE4-D2581E4ED84A},-71.148783829999957,42.278649337000047,77 (STREET_FEA 4603),STREET_FEA 4603,43,derived_0_50_ft,boston-sam,151370,77 Woodard Rd,Woodard Rd,42.27869866,-71.14893062,Tennyson Street & Woodard Road,110,nearest_address
68,11DH20,Hastings St,2 Hastings St,IS,,1104740147,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1138; METERED_FL=U; PLACEMENT=MIGRATED,11DH20,,,US,USSEN,1986,,,,1,,1177632000000,blundonr,1255478400000,{B765C36B-201D-5F87-963F-12719CBDF747},-71.154811290999987,42.284825995000062,2 (STREET_FEA 2064),STREET_FEA 2064,51,derived_50_100_ft,boston-sam,71126,2 Hastings St,Hastings St,42.28486866,-71.15499062,Corey Street & Hastings Street,32,nearest_address
86,13EH28,Buchanan Rd,51 Buchanan Rd,IS,1053302400000,1305740047,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=249; METERED_FL=U; PLACEMENT=MIGRATED,13EH28,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{E6DB6C72-BF49-5F7C-8E7B-133F45B4E275},-71.136801178999974,42.295185722000042,51 (STREET_FEA 722),STREET_FEA 722,53,derived_50_100_ft,boston-sam,23173,51 Buchanan Rd,Buchanan Rd,42.29525866,-71.13697061,Andover Road & Buchanan Road,55,nearest_address
87,10CH136,Preston Rd,8 Preston Rd,IS,896659200000,1003740036,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4482; METERED_FL=U; PLACEMENT=MIGRATED,10CH136,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{055E47D7-B465-5AC2-B4C1-224310F5FF58},-71.159848307999937,42.282906546000049,8 (STREET_FEA 3387),STREET_FEA 3387,49,derived_0_50_ft,boston-sam,112725,8 Preston Rd,Preston Rd,42.28293866,-71.15967062,Preston Road & Westmount Avenue,94,nearest_address
114,12DH76,Pierpont Rd,45 Pierpont Rd,IS,754704000000,1204740153,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3305; METERED_FL=U; PLACEMENT=MIGRATED,12DH76,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1271808000000,{4095BC70-36F4-543E-816A-51713D47A1BB},-71.151010223999947,42.290178523000066,63 (STREET_FEA 1905),STREET_FEA 1905,56,derived_50_100_ft,boston-sam,110316,45 Pierpont Rd,Pierpont Rd,42.29031866,-71.15092062,Greaton Road & Pierpont Road,30,nearest_address
117,12EH18,Bellaire Rd,11 Bellaire Rd,IS,1245801600000,1205740102,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=888; METERED_FL=U; PLACEMENT=MIGRATED,12EH18,,,KE,KEK81-A,2009,,,,1,,1177632000000,chalmersh,1291593600000,{ECD9DA36-10D4-5398-8E2A-D56652D01710},-71.143580964999956,42.291675036000072,11 (STREET_FEA 481),STREET_FEA 481,51,derived_50_100_ft,boston-sam,13756,11 Bellaire Rd,Bellaire Rd,42.29174866,-71.14342061,Bellaire Road & Cerdan Avenue,289,nearest_address
