facilityid,streetname,address,lifecyclestatus,address_distance_ft,lon,lat,source,source_pulled_at,source_address,source_streetname,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
HYD-00001.0,East Locust Street,Near East Locust Street & Second Street,In Service,153,-71.0470364530165,42.39728271080847,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,263 Second Street,Second Street,intersection_preferred_150_plus_ft,massgis-chelsea,3685220,263 Second Street,Second Street,42.39721623,-71.04647604,East Locust Street & Second Street,98,nearest_intersection
HYD-00002.0,Third Street,328 Third Street,In Service,109,-71.04544163268389,42.3984143057913,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,328 Third Street,Third Street,derived_100_150_ft,massgis-chelsea,3687607,328 Third Street,Third Street,42.39814525,-71.04562154,Carter Street & Third Street,552,nearest_address
HYD-00003.0,Carter Street,Near Carter Street & Third Street,In Service,266,-71.04434776728974,42.396806043790974,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,300 Third Street,Third Street,intersection_preferred_150_plus_ft,massgis-chelsea,3687044,300 Third Street,Third Street,42.39707279,-71.04527098,Carter Street & Third Street,126,nearest_intersection
HYD-00004.0,Second Street,237 Second Street,In Service,136,-71.04507367360208,42.39638089569146,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,237 Second Street,Second Street,derived_100_150_ft,massgis-chelsea,3687622,237 Second Street,Second Street,42.39636204,-71.04558061,Carter Street & Second Street,204,nearest_address
HYD-00005.0,East Locust Street,Near East Locust Street & Second Street,In Service,342,-71.04751455801767,42.39776842648858,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,285 Second Street,Second Street,intersection_preferred_150_plus_ft,massgis-chelsea,3687857,285 Second Street,Second Street,42.39775616,-71.04624186,East Locust Street & Second Street,123,nearest_intersection
HYD-00006.0,Second Street,237 Second Street,In Service,117,-71.04588694553959,42.396135412626705,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,237 Second Street,Second Street,derived_100_150_ft,massgis-chelsea,3687622,237 Second Street,Second Street,42.39636204,-71.04558061,Carter Street & Second Street,46,nearest_address
HYD-00007.0,Carter Street,Near Carter Street & Second Street,In Service,177,-71.04639331968097,42.396620695543774,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,270 Second Street,Second Street,intersection_preferred_150_plus_ft,massgis-chelsea,4401803,270 Second Street,Second Street,42.39615212,-71.04657320,Carter Street & Second Street,263,nearest_intersection
HYD-00008.0,Carter Street,Near Carter Street & Second Street,In Service,168,-71.04525508589032,42.395520276088675,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,240 Second Street,Second Street,intersection_preferred_150_plus_ft,massgis-chelsea,3688403,240 Second Street,Second Street,42.39505997,-71.04526591,Carter Street & Second Street,244,nearest_intersection
HYD-00010.0,Beacham Street,410 Beacham Street,In Service,141,-71.04640768683454,42.39366235621156,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,410 Beacham Street,Beacham Street,derived_100_150_ft,massgis-chelsea,4285929,410 Beacham Street,Beacham Street,42.39404729,-71.04646193,Beacham Street & Williams Street,117,nearest_address
HYD-00011.0,Beacham Street,410 Beacham Street,In Service,128,-71.04642800656873,42.39369771394424,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,410 Beacham Street,Beacham Street,derived_100_150_ft,massgis-chelsea,4285929,410 Beacham Street,Beacham Street,42.39404729,-71.04646193,Beacham Street & Williams Street,125,nearest_address
HYD-00014.0,Beacham Street,Near Beacham Street & Market Street,In Service,181,-71.04929712419593,42.39536094248196,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,145 Market Street,Market Street,intersection_preferred_150_plus_ft,massgis-chelsea,3687188,145 Market Street,Market Street,42.39504643,-71.04877460,Beacham Street & Market Street,205,nearest_intersection
HYD-00019.0,Eastern Avenue,294 Eastern Avenue,In Service,88,-71.02110546893091,42.39630148322097,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,294 Eastern Avenue,Eastern Avenue,derived_50_100_ft,massgis-chelsea,3685430,294 Eastern Avenue,Eastern Avenue,42.39629600,-71.02143143,Eastern Avenue & Eastern Avenue Extension,283,nearest_address
HYD-00020.0,Carter Street,158 Carter Street,In Service,46,-71.04029867150577,42.39917387848917,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,158 Carter Street,Carter Street,derived_0_50_ft,massgis-chelsea,3688807,158 Carter Street,Carter Street,42.39916365,-71.04012973,Everett Avenue & Fifth Street,118,nearest_address
