revere_fire_hydrants_2024
objectid,facilityid,streetname,address,lifecyclestatus,owner,comments,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,created_user,created_date,last_edited_user,last_edited_date,globalid,full_flow,flow_pressure,inspection_comments,longitude,latitude
659,WHYD00655,ABRUZZI ST,75 Abruzzi St,IS,Revere,"Red, NO PLANS FOUND/ASSUMED CONNECTION",WHYV00526,"Breakaway Flange 10""+",American,Darling,1985.0,,,,,,Esri_Anonymous,1683211777000,{10CE4D35-D559-4955-9ECD-CBD9AED7BE31},,,Static pressure 70 psi,791004.3700000050,2978858.349999990
657,WHYD00653,ABRUZZI ST,104 Hutchinson St,IS,Revere,Red,WHYV00528,"Breakaway Flange 4""-6""",American,Darling,1976.0,,,,,,Esri_Anonymous,1683309393000,{EA219EB9-75EA-4C1A-9E4A-F196D4C1FF5F},,,Static pressure 70 psi,790709.7199999990,2978117.680000010
685,WHYD00682,AC WHELAN SCHOOL,225 Sargent St,IS,Revere,,WHYV00541,Breakaway,American Darling,B84,2004.0,2.5,,2.5,,,JRKLU,1667419368000,{FE8D5717-4744-4695-934D-FC5186012BA2},,,,785374.1690000000,2978352.0337500000
253,WHYD00250,ADAMS ST,59 Adams St,IS,Revere,,WHYV00406,Breakaway,American Darling,B84,2016.0,2.5,,2.5,,,JRKLU,1667411473000,{356BD815-7A4B-45AB-B88E-17BC675C1763},,,,786495.9300000070,2976785.200000000
357,WHYD00354,AGAWAM ST,47 Agawam St,IS,Revere,,WHYV00759,,,,,,,,,,JRKLU,1667412686000,{E29ED6E6-57A4-46D6-BE74-1477CAA95A4F},,,,793391.955249995,2977390.3649999900
476,WHYD00473,ALBERT AVE,355 Revere Beach Pkwy,IS,Revere,Yellow and white,WHYV00702,N/A,Darling,Williamsport,,,,,,,Esri_Anonymous,1674856346000,{D6E379BE-94D1-4A2E-906F-DE790BE1FAB8},604 GPM,,Static pressure 50 PSI,791419.2099999930,2972008.1400000000
84,WHYD00081,ALDEN AVE,44 Alden Ave,IS,Revere,Red,WHYV00247,"Breakaway Flange 4""-6""",American,Darling,1998.0,2.5,,2.5,,,Esri_Anonymous,1683735947000,{D6BB5CB8-C56B-46C7-84EA-807B27BC4235},,,Static pressure 70 psi,800191.8400000040,2985525.7600000100
617,WHYD00614,ALICE ST,15 Alice St,IS,Revere,Red,WHYV00477,"Breakaway Flange 4""-6""",American,Darling,2019.0,,,,,,Esri_Anonymous,1683910251000,{AAA237B5-3752-43C9-93C7-F8170633AC3B},,,Static pressure 70 psi,794965.7954999950,2980726.408500000
140,WHYD00137,ALLSTON ST,194 Mountain Ave,IS,Revere,,WHYV00197,Breakaway,American Darling,B84B,2004.0,2.5,,2.5,,,JRKLU,1667409321000,{B63C169D-99CE-4EB4-A094-9315E4D12092},,,,786853.7099999930,2975905.700000000
146,WHYD00143,AMASA ST,547 Proctor Ave,IS,Revere,SNAPPED TO GPS INDICATOR POINT,WHYV00204,Full-barrel,American Darling,B50B,1965.0,2.5,,2.5,,,JRKLU,1667409414000,{E5CBF146-5CA1-4754-A148-35665D845DD3},,,,783049.7055000070,2977680.621999990
