objectid,facilityid,streetname,address,lifecyclestatus,source_lifecyclestatus_assumption,owner,comments,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,globalid,lon,lat,source,source_exported_at,source_record_number,source_x,source_y,source_projection,facilityid_basis,water_nd,record_id,node_type,person,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1,STH-HYD-87BCB23032,Main Street,2 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0001-87BCB23032,-71.10163226,42.50209011,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,1,763592.687500,3008246.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,4,589,HYD,YVETTE,,,332,intersection_preferred_150_plus_ft,massgis-stoneham,2618073,2 Main Street,Main Street,42.50175998,-71.10048019,,,nearest_address
2,STH-HYD-0CD4F0494E,North Street,2 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0002-0CD4F0494E,-71.09684424,42.50181690,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,2,764884.312500,3008152.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,8,659,HYD,YVETTE,,,235,intersection_preferred_150_plus_ft,massgis-stoneham,2611157,2 North Street,North Street,42.50125011,-71.09726030,,,nearest_address
3,STH-HYD-AD96D16C27,North Street,27 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0003-AD96D16C27,-71.09926551,42.50163807,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,3,764231.687500,3008084.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,15,677,HYD,YVETTE,,,108,derived_100_150_ft,massgis-stoneham,2618598,27 North Street,North Street,42.50192881,-71.09918633,,,nearest_address
4,STH-HYD-94DFA521D4,Park Avenue,96 Park Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0004-94DFA521D4,-71.09263679,42.50155104,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,4,766019.375000,3008061.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,19,6501,HYD,,,,73,derived_50_100_ft,massgis-stoneham,2612460,96 Park Avenue,Park Avenue,42.50146317,-71.09288161,,,nearest_address
5,STH-HYD-7E292187DF,North Street,27 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0005-7E292187DF,-71.09940258,42.50151369,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,5,764194.937500,3008038.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,23,673,HYD,YVETTE,,,162,intersection_preferred_150_plus_ft,massgis-stoneham,2618598,27 North Street,North Street,42.50192881,-71.09918633,,,nearest_address
6,STH-HYD-2C7EB8507A,High Street,131 High Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0006-2C7EB8507A,-71.09404698,42.50146203,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,6,765639.250000,3008026.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,27,701,HYD,YVETTE,,,44,derived_0_50_ft,massgis-stoneham,2610003,131 High Street,High Street,42.50158132,-71.09408124,,,nearest_address
7,STH-HYD-C53E04488C,Evergreen Road,3 Evergreen Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0007-C53E04488C,-71.10642622,42.50100761,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,7,762301.750000,3007845.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,44,315,HYD,YVETTE,,,42,derived_0_50_ft,massgis-stoneham,2610345,3 Evergreen Road,Evergreen Road,42.50110560,-71.10650732,,,nearest_address
8,STH-HYD-6A7B0C4548,Stonehill Drive,3 Stonehill Drive,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0008-6A7B0C4548,-71.10282253,42.50085394,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,8,763273.812500,3007794.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,50,574,HYD,YVETTE,,,162,intersection_preferred_150_plus_ft,massgis-stoneham,2619341,3 Stonehill Drive,Stonehill Drive,42.50083822,-71.10342623,,,nearest_address
9,STH-HYD-59E39E5842,Main Street,10 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0009-59E39E5842,-71.10133976,42.50080560,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,9,763673.750000,3007778.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,53,601,HYD,YVETTE,,,209,intersection_preferred_150_plus_ft,massgis-stoneham,2614377,10 Main Street,Main Street,42.50088726,-71.10056989,,,nearest_address
10,STH-HYD-BA767349E0,Drummond Road,17 Drummond Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0010-BA767349E0,-71.11066210,42.50076406,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,10,761159.875000,3007751.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,55,208,HYD,YVETTE,,,56,derived_50_100_ft,massgis-stoneham,2610135,17 Drummond Road,Drummond Road,42.50089984,-71.11076267,,,nearest_address
